"SMILES","EXTERNALID","N","NAME","NAME","INTRODUCER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","IC group given","Temperature","UNIT {Temperature}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","pKa predicted value","UNIT {pKa predicted value}","IC smiles given","COMMENTS","CASRN"
"CC(C)CC1=CC=C(C=C1)C(C)C(O)=O","-","206","2-[4-(2-methylpropyl)phenyl]propanoic acid/ibuprofen","-","Koerner","A8743","19630371","-","-","4.45","Log unit","OC(=O)C(c1ccc(CC(C)C)cc1)C","","","-","9","4.8519","Log unit","","-","","-","15687-27-1"
"NC1=C(N)C=C(C=C1)C(O)=O","-","39","3,4-DIAMINO-BENZOIC ACID","-","Koerner","A3183","-","464","4","3.49","Log unit","O=C(O)c1ccc(c(N)c1)N","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","619-05-6"
"OC(=O)CN1C(=O)SC2=CC=CC(Cl)=C12","-","200","(4-chloro-2-oxo-1,3-benzothiazol-3(2H)-yl)acetic acid","-","Koerner","A8743","19630371","-","-","3.04","Log unit","OC(=O)Cn1c(=O)sc2c1c(Cl)ccc2","","","-","0","3.0961","Log unit","","-","","-","3813-05-6"
"COC1=C(OCC(O)=O)C=CC=C1","-","189","{[2-(methyloxy)phenyl]oxy}acetic acid","-","Koerner","A8743","19630371","-","-","3.23","Log unit","OC(=O)COc1ccccc1OC","","","-","2","3.4346","Log unit","","-","","-","1878-85-9"
"OC(=O)C1=CC=CC(I)=C1","-","32","3-Iodobenzoic Acid","-","Koerner","A3183","-","464","4","3.85","Log unit","O=C(O)c1cc(I)ccc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","618-51-9"
"OC(=O)C1=CC(O)=C(O)C(O)=C1","-","20","3,4,5-Trihydroxybenzoic acid","-","Koerner","A3183","-","464","4","4.21","Log unit","O=C(O)c1cc(c(O)c(c1)O)O","benzoic acid (meta/para subs.)","20.0","?C","","","-","","-","","-","149-91-7"
"CC1=CC=C(C=C1)C(O)=O","-","11","p-toluic acid","-","Koerner","A3183","-","464","4","4.37","Log unit","O=C(O)c1ccc(cc1)C","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","99-94-5"
"OC(=O)COC1=C(O)C=CC=C1","-","202","[(2-hydroxyphenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.02","Log unit","OC(=O)COc1ccccc1O","","","-","2","3.301","Log unit","","-","","-","6324-11-4"
"OC(=O)C1=CC=CC(Cl)=C1","-","26","m-chlorobenzoic acid","-","Koerner","A3183","-","464","4","3.81","Log unit","O=C(O)c1cc(Cl)ccc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","535-80-8"
"OC(=O)C1=CC=CC(F)=C1","-","22","m-Fluorobenzoic acid","-","Koerner","A3183","-","464","4","3.86","Log unit","O=C(O)c1cc(F)ccc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","455-38-9"
"OC(=O)CCCC1=CC=CC=C1","-","183","4-Phenylbutanoic acid","-","Koerner","A8743","19630371","-","-","4.76","Log unit","OC(=O)CCCc1ccccc1","","","-","2","4.8094","Log unit","","-","","-","1821-12-1"
"OC(=O)COC1=CC=CC=C1Cl","-","172","[(2-chlorophenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.05","Log unit","OC(=O)COc1ccccc1Cl","","","-","2","3.1459","Log unit","","-","","-","614-61-9"
"OC(=O)C1=CC=C(C=C1)[N+]([O-])=O","-","4","p-Nitrobenzoic acid","-","Koerner","A3183","-","464","4","3.44","Log unit","O=C(O)c1ccc([N+](=O)[O-])cc1","benzoic acid (meta/para subs.)","","-","","","-","","-","","-","62-23-7"
"OC(=O)[C@@H]1CCN2C1=CC=C2C(=O)C1=CC=CC=C1","-","226","5-(phenylcarbonyl)-2,3-dihydro-1H-pyrrolo[1,2-a]pyrrole-1-carboxylic acid/ketorolac","-","Koerner","A8743","19630371","-","-","3.49","Log unit","OC(=O)C1c2n(CC1)c(cc2)C(=O)c1ccccc1","","","-","4","3.8352","Log unit","","-","","-","74103-06-3"
"CC1=C(OCC(O)=O)C=CC=C1","-","194","[(2-methylphenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.23","Log unit","OC(=O)COc1ccccc1C","","","-","2","3.8847","Log unit","","-","","-","1878-49-5"
"OC(=O)CC1=CC=C(Br)C=C1","-","191","(4-Bromophenyl)acetic acid","-","Koerner","A8743","19630371","-","-","4.19","Log unit","OC(=O)Cc1ccc(cc1)Br","","","-","2","3.2024","Log unit","","-","","-","1878-68-8"
"CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1","-","214","2-[3-(phenyloxy)phenyl]propanoic acid/fenoprofen","-","Koerner","A8743","19630371","-","-","4.5","Log unit","OC(=O)C(C)c1cccc(Oc2ccccc2)c1","","","-","3","3.959","Log unit","","-","","-","29679-58-1"
"OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl","-","221","[(3,5,6-Trichloro-2-pyridinyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","2.68","Log unit","OC(=O)COc1nc(Cl)c(Cl)cc1Cl","","","-","4","2.2772","Log unit","","-","","-","55335-06-3"
"OC(=O)C1=CC=C(OC2=CC=CC=C2)C=C1","-","42","p-Phenoxybenzoic acid","-","Koerner","A3183","-","464","4","4.52","Log unit","O=C(O)c1ccc(Oc2ccccc2)cc1","benzoic acid (meta/para subs.)","","-","","","-","","-","","-","2215-77-2"
"CC1=CC=C(OCC(O)=O)C=C1","-","178","[(4-methylphenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.21","Log unit","OC(=O)COc1ccc(cc1)C","","","-","2","3.8602","Log unit","","-","","-","940-64-7"
"OC(=O)COC1=CC=C(Br)C=C1","-","186","[(4-bromophenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.13","Log unit","OC(=O)COc1ccc(cc1)Br","","","-","2","2.6183","Log unit","","-","","-","1878-91-7"
"OC(=O)C1=CC=C(Br)C=C1","-","30","P-BROMOBENZOIC ACID","-","Koerner","A3183","-","464","4","4.0","Log unit","O=C(O)c1ccc(Br)cc1","benzoic acid (meta/para subs.)","20.0","?C","","","-","","-","","-","586-76-5"
"OC(=O)COC1=CC(=CC=C1)C#N","-","195","[(3-cyanophenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","","3.03","Log unit","OC(=O)COc1cccc(C#N)c1","","","-","","","-","","-","","","1879-58-9"
"OC(=O)C1=CC=CC(Br)=C1","-","28","m-Bromobenzoic acid","-","Koerner","A3183","-","464","4","3.81","Log unit","O=C(O)c1cc(Br)ccc1","benzoic acid (meta/para subs.)","20.0","?C","","","-","","-","","-","585-76-2"
"CC1=CC=CC(OCC(O)=O)=C1","-","179","[(3-methylphenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.2","Log unit","OC(=O)COc1cc(C)ccc1","","","-","2","3.8708","Log unit","","-","","-","1643-15-8"
"OC(=O)CC1=CC(Cl)=CC=C1","-","193","(3-chlorophenyl)acetic acid","-","Koerner","A8743","19630371","-","-","4.14","Log unit","OC(=O)Cc1cc(Cl)ccc1","","","-","0","3.7657","Log unit","","-","","-","1878-65-5"
"COC1=C(O)C=CC(=C1)C(O)=O","-","19","4-HYDROXY-3-METHOXYBENZOIC ACID","-","Koerner","A3183","-","464","4","4.51","Log unit","O=C(O)c1ccc(c(OC)c1)O","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","121-34-6"
"C[C@@H](OC1=CC=C(Cl)C=C1C)C(O)=O","-","207","2-[(4-chloro-2-methylphenyl)oxy]propanoic acid","-","Koerner","A8743","19630371","-","-","3.68","Log unit","OC(=O)C(Oc1c(cc(Cl)cc1)C)C","","","-","12","3.4652","Log unit","","-","","-","16484-77-8"
"OC(=O)C1=CC=CC=C1","-","5","Benzoic acid","-","Koerner","A3183","-","464","4","4.19","Log unit","O=C(O)c1ccccc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","65-85-0"
"OC(=O)CC1=CC(=CC=C1)[N+]([O-])=O","-","185","(3-nitrophenyl)acetic acid","-","Koerner","A8743","19630371","-","-","3.97","Log unit","OC(=O)Cc1cc([N+](=O)[O-])ccc1","","","-","0","3.0681","Log unit","","-","","-","1877-73-2"
"NC1=CC(=CC=C1)C(O)=O","-","15","3-Aminobenzoic acid","-","Koerner","A3183","-","464","4","4.74","Log unit","O=C(O)c1cc(N)ccc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","99-05-8"
"COC1=CC(=CC=C1)C(O)=O","-","31","m-Methoxybenzoic acid","-","Koerner","A3183","-","464","4","4.09","Log unit","O=C(O)c1cc(OC)ccc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","586-38-9"
"OC(=O)C1=CC=C(Cl)C=C1","-","6","4-Chlorobenzoic Acid","-","Koerner","A3183","-","464","4","3.98","Log unit","O=C(O)c1ccc(Cl)cc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","74-11-3"
"CC(N(C(=O)C1=CC=CC=C1)C1=CC(Cl)=C(F)C=C1)C(O)=O","-","223","N-(3-chloro-4-fluorophenyl)-N-(phenylcarbonyl)alanine","-","Koerner","A8743","19630371","-","-","3.72","Log unit","OC(=O)C(N(c1cc(Cl)c(F)cc1)C(=O)c1ccccc1)C","","","-","3","3.5459","Log unit","","-","","-","58667-63-3"
"C[C@H](OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1)C(O)=O","-","224","2-[(4-{[5-(trifluoromethyl)-2-pyridinyl]oxy}phenyl)oxy]propanoic acid","-","Koerner","A8743","19630371","-","-","3.12","Log unit","OC(=O)C(Oc1ccc(Oc2ncc(C(F)(F)F)cc2)cc1)C","","","-","14","2.8836","Log unit","","-","","-","69335-91-7"
"COC1=CC=C(C=C1)C(O)=O","-","17","p-Methoxybenzoic acid","-","Koerner","A3183","-","464","4","4.47","Log unit","O=C(O)c1ccc(OC)cc1","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","100-09-4"
"OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1","-","216","4-(4-biphenylyl)-4-oxobutanoic acid/fenbufen","-","Koerner","A8743","19630371","-","-","4.51","Log unit","OC(=O)CCC(=O)c1ccc(cc1)c1ccccc1","","","-","18","4.2196","Log unit","","-","","-","36330-85-5"
"OC(=O)C1=CC(Cl)=CC(Cl)=C1","-","2","3,5-DICHLOROBENZOIC ACID","-","Koerner","A3183","-","464","4","3.54","Log unit","O=C(O)c1cc(cc(Cl)c1)Cl","benzoic acid (meta/para subs.)","22.0","?C","","","-","","-","","-","51-36-5"
"OC(=O)C1=CC(Cl)=C(Cl)C=C1","-","1","3,4-DICHLOROBENZOIC ACID","-","Koerner","A3183","-","464","4","3.64","Log unit","O=C(O)c1ccc(c(Cl)c1)Cl","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","51-44-5"
"COC1=C(OC)C=C(C=C1)C(O)=O","-","8","3,4-DIMETHOXYBENZOIC ACID","-","Koerner","A3183","-","464","4","4.36","Log unit","O=C(O)c1ccc(c(OC)c1)OC","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","93-07-2"
"OC(=O)C1=CC2=C(C=CC=C2)C=C1","-","7","2-NAPHTHOIC ACID","-","Koerner","A3183","-","464","4","4.17","Log unit","O=C(O)c1cc2c(cc1)cccc2","benzoic acid (meta/para subs.)","20.0","?C","","","-","","-","","-","93-09-4"
"CC(C)(C)C1=CC=C(C=C1)C(O)=O","-","9","4-(TERT-BUTYL)-BENZOIC ACID","-","Koerner","A3183","-","464","4","4.4","Log unit","O=C(O)c1ccc(cc1)C(C)(C)C","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","98-73-7"
"OC(=O)C1=CC(O)=CC(O)=C1","-","14","3,5-DIHYDROXYBENZOIC ACID","-","Koerner","A3183","-","464","4","4.04","Log unit","O=C(O)c1cc(cc(O)c1)O","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","99-10-5"
"OC(=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O","-","13","3,5-DINITROBENZOIC ACID","-","Koerner","A3183","-","464","4","2.82","Log unit","O=C(O)c1cc(cc([N+](=O)[O-])c1)[N+](=O)[O-]","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","99-34-3"
"OC(=O)C1=CC(O)=C(O)C=C1","-","12","3,4-DIHYDROXYBENZOIC ACID","-","Koerner","A3183","-","464","4","4.48","Log unit","O=C(O)c1ccc(c(O)c1)O","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","99-50-3"
"OC(=O)C1=CC(=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","-","24","3,4-DINITROBENZOIC ACID","-","Koerner","A3183","-","464","4","2.82","Log unit","O=C(O)c1ccc(c([N+](=O)[O-])c1)[N+](=O)[O-]","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","528-45-0"
"COC1=CC(=CC(OC)=C1O)C(O)=O","-","25","4-OH-3,5-DIMETHOXYBENZIOC ACID","-","Koerner","A3183","-","464","4","4.34","Log unit","O=C(O)c1cc(c(c(OC)c1)O)OC","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","530-57-4"
"CC(C)C1=CC=C(C=C1)C(O)=O","-","27","CUMIC ACID","-","Koerner","A3183","-","464","4","4.35","Log unit","O=C(O)c1ccc(cc1)C(C)C","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","536-66-3"
"CC(=O)C1=CC=C(C=C1)C(O)=O","-","29","P-ACETYLBENZOIC ACID","-","Koerner","A3183","-","464","4","3.7","Log unit","O=C(O)c1ccc(cc1)C(=O)C","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","586-89-0"
"CCCC(C(O)=O)C(O)=O","-","173","PROPYLPROPANEDIOIC ACID","-","Koerner","A8743","19630371","-","-","2.99","Log unit","OC(=O)C(CCC)C(=O)O","","","-","5","2.4962","Log unit","","-","","-","616-62-6"
"OC(=O)C1=CC(C=O)=CC=C1","-","38","3-FORMYLBENZOIC ACID","-","Koerner","A3183","-","464","4","3.84","Log unit","O=C(O)c1cc(ccc1)C=O","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","619-21-6"
"CCC1=CC=C(C=C1)C(O)=O","-","36","4-ETHYLBENZOIC ACID","-","Koerner","A3183","-","464","4","4.35","Log unit","O=C(O)c1ccc(cc1)CC","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","619-64-7"
"OC(=O)C1=CC=C(C=O)C=C1","-","34","4-FORMYLBENZOIC ACID","-","Koerner","A3183","-","464","4","3.77","Log unit","O=C(O)c1ccc(cc1)C=O","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","619-66-9"
"CCOC1=CC=C(C=C1)C(O)=O","-","33","P-ETHOXYBENZOIC ACID","-","Koerner","A3183","-","464","4","4.45","Log unit","O=C(O)c1ccc(OCC)cc1","benzoic acid (meta/para subs.)","20.0","?C","","","-","","-","","-","619-86-3"
"ON(CC(O)=O)C=O","-","177","N-FORMYL-N-HYDROXYGLYCINE","-","Koerner","A8743","19630371","-","-","3.5","Log unit","OC(=O)CN(C=O)O","","","-","7","3.2761","Log unit","","-","","-","689-13-4"
"COC1=CC(=CC(OC)=C1)C(O)=O","-","40","3,5-DIMETHOXYBENZOIC ACID","-","Koerner","A3183","-","464","4","3.97","Log unit","O=C(O)c1cc(cc(OC)c1)OC","benzoic acid (meta/para subs.)","25.0","?C","","","-","","-","","-","1132-21-4"
"OC(=O)C1CC1","-","180","CYCLOPROPANECARBOXYLIC ACID","-","Koerner","A8743","19630371","-","-","4.83","Log unit","OC(=O)C1CC1","","","-","2","4.4164","Log unit","","-","","-","1759-53-1"
"OC(=O)COC1=CC=CC=C1N(=O)=O","-","188","[(2-nitrophenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","2.9","Log unit","OC(=O)COc1ccccc1N(=O)=O","","","-","0","2.545","Log unit","","-","","-","1878-87-1"
"OC(=O)COC1=C2C=CC=CC2=CC=C1","-","199","(1-naphthalenyloxy)acetic acid","-","Koerner","A8743","19630371","-","-","3.2","Log unit","OC(=O)COc1c2ccccc2ccc1","","","-","14","4.0486","Log unit","","-","","-","2976-75-2"
"OC(=O)CC1CCCCC1","-","201","CYCLOHEXYLACETIC ACID","-","Koerner","A8743","19630371","-","-","4.8","Log unit","OC(=O)CC1CCCCC1","","","-","2","4.9396","Log unit","","-","","-","5292-21-7"
"COC1=CC=C(C=C1)C(O)C(O)=O","-","203","hydroxy[4-(methyloxy)phenyl]acetic acid","-","Koerner","A8743","19630371","-","-","3.42","Log unit","OC(=O)C(c1ccc(cc1)OC)O","","","-","12","3.428","Log unit","","-","","-","10502-44-0"
"CCC1=CC=C(CC(O)=O)C=C1","-","204","(4-ethylphenyl)acetic acid","-","Koerner","A8743","19630371","-","","4.37","Log unit","OC(=O)Cc1ccc(CC)cc1","","","-","","","-","","-","","","14387-10-1"
"OC(=O)CCOC1=CC=CC2=C1C=CC=C2","-","208","3-(1-naphthalenyloxy)propanoic acid","-","Koerner","A8743","19630371","-","","4.0","Log unit","OC(=O)CCOc1cccc2ccccc12","","","-","","","-","","-","","","16563-41-0"
"OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1","-","209","[4-(4-chlorophenyl)-2-phenyl-1,3-thiazol-5-yl]acetic acid/fentiazac","-","Koerner","A8743","19630371","-","-","3.6","Log unit","OC(=O)Cc1sc(c2ccccc2)nc1c1ccc(Cl)cc1","","","-","0","4.8225","Log unit","","-","","-","18046-21-4"
"CC(C)(C)C1=CC=C(CC(O)=O)C=C1","-","215","[4-(1,1-dimethylethyl)phenyl]acetic acid","-","Koerner","A8743","19630371","-","-","4.42","Log unit","OC(=O)Cc1ccc(cc1)C(C)(C)C","","","-","2","4.8382","Log unit","","-","","-","32857-63-9"
"OC(=O)CC1=CN(N=C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1","-","220","[3-(4-chlorophenyl)-1-phenyl-1H-pyrazol-4-yl]acetic acid/ionazolac","-","Koerner","A8743","19630371","-","-","4.3","Log unit","OC(=O)Cc1c(c2ccc(Cl)cc2)nn(c2ccccc2)c1","","","-","19","4.3097","Log unit","","-","","-","53808-88-1"
"OC(=O)COC1=CC(=C(Cl)C=C1)N(=O)=O","-","227","[(4-chloro-3-nitrophenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","2.96","Log unit","OC(=O)COc1cc(N(=O)=O)c(Cl)cc1","","","-","0","2.3812","Log unit","","-","","-","89894-13-3"
"OC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1","-","228","4-(cyclopropylcarbonyl)-3,5-dioxocyclohexanecarboxylic acid","-","Koerner","A8743","19630371","-","","5.32","Log unit","OC(=C1C(=O)CC(CC1=O)C(=O)O)C1CC1","","","-","","","-","","-","","","104273-73-6"
"OC(=O)CC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1CS2","-","222","(11-oxo-6,11-dihydrodibenzo[b,e]thiepin-2-yl)acetic acid/tiopinac","-","Koerner","A8743","19630371","-","","3.71","Log unit","OC(=O)Cc1cc2SCc3c(C(=O)c2cc1)cccc3","","","-","","","-","","-","","","55863-26-8"
"CCC[C@H](O)C(O)=O","-","174","2-Hydroxypentanoic acid","-","Koerner","A8743","19630371","-","-","2.89","Log unit","OC(=O)C(O)CCC","","","-","1","4.1421","Log unit","","-","","-","617-31-2"
"CCC[C@@H](CC)C(O)=O","-","210","2-ETHYLPENTANOIC ACID","-","Koerner","A8743","19630371","-","-","4.71","Log unit","OC(=O)C(CCC)CC","","","-","0","5.0994","Log unit","","-","","-","20225-24-5"
"CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C\C1=CC=C(C=C1)[S@](C)=O","-","217","((1E)-5-fluoro-2-methyl-1-{[4-(methylsulfinyl)phenyl]methylidene}-1H-inden-3-yl)acetic acid/sulindac","-","Koerner","A8743","19630371","-","-","4.7","Log unit","OC(=O)CC1=C(C(=Cc2ccc(cc2)S(=O)C)c2c1cc(F)cc2)C","","","-","13","4.0902","Log unit","","-","","-","38194-50-2"
"C[C@@H](C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1","-","218","2-[4-(2-thienylcarbonyl)phenyl]propanoic acid/suprofen","-","Koerner","A8743","19630371","-","-","3.91","Log unit","OC(=O)C(c1ccc(C(=O)c2sccc2)cc1)C","","","-","17","4.0119","Log unit","","-","","-","40828-46-4"
"C[C@H](OC1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1)C(O)=O","-","219","2-({4-[(2,4-dichlorophenyl)oxy]phenyl}oxy)propanoic acid","-","Koerner","A8743","19630371","-","-","3.43","Log unit","OC(=O)C(Oc1ccc(Oc2c(Cl)cc(cc2)Cl)cc1)C","","","-","20","2.917","Log unit","","-","","-","40843-25-2"
"C[C@H](OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1)C(O)=O","-","225","2-[(4-{[3-chloro-5-(trifluoromethyl)-2-pyridinyl]oxy}phenyl)oxy]propanoic acid","-","Koerner","A8743","19630371","-","-","2.9","Log unit","OC(=O)C(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C","","","-","23","2.7766","Log unit","","-","","-","69806-34-4"
"NC1=CC=C(N)C(O)=C1N","-","","-","-","Koerner","A9412","-","-","","10.0","Log unit","Nc1ccc(N)c(O)c1N","","","-","","","-","","-","","","-"
"OCC(O)=O","-","110","hydroxyacetic acid","-","Koerner","A8743","19630371","-","-","3.83","Log unit","OC(=O)CO","","","-","2","3.5263","Log unit","","-","","-","79-14-1"
"OC(=O)C1=C(O)C=CC=C1O","-","72","2,6-Dihydroxybenzoic Acid","-","Koerner","A8743","19630371","-","-","1.05","Log unit","OC(=O)c1c(O)cccc1O","","","-","10","1.5142","Log unit","","-","","-","303-07-1"
"C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C","-","114","3,7,12-Trihydroxycholan-24-oic acid","-","Koerner","A8743","19630371","-","-","4.98","Log unit","OC(=O)CCC(C1C2(C(C3C(C4(C(CC3O)CC(O)CC4)C)CC2O)CC1)C)C","","","-","3","4.475","Log unit","","-","","-","81-25-4"
"CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O","-","118","3,3-dimethyl-7-oxo-6-{[(phenyloxy)acetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid/phenoxymethylpenicillin","-","Koerner","A8743","19630371","-","-","2.79","Log unit","OC(=O)C1C(C)(C)SC2C(C(=O)N12)NC(=O)COc1ccccc1","","","-","5","3.3903","Log unit","","-","","-","87-08-1"
"CC(C)(O)C(O)=O","-","166","2-Hydroxy-2-methylpropanoic acid","-","Koerner","A8743","19630371","-","-","3.61","Log unit","OC(=O)C(C)(C)O","","","-","5","3.9484","Log unit","","-","","-","594-61-6"
"OC(=O)COC1=C(F)C=CC=C1","-","149","[(2-fluorophenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.08","Log unit","OC(=O)COc1ccccc1F","","","-","2","3.1401","Log unit","","-","","-","348-10-7"
"COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O","-","96","[1-[(4-chlorophenyl)carbonyl]-2-methyl-5-(methyloxy)-1H-indol-3-yl]acetic acid/indomethacin","-","Koerner","A8743","19630371","-","-","4.5","Log unit","OC(=O)Cc1c(n(c2c1cc(OC)cc2)C(=O)c1ccc(cc1)Cl)C","","","-","12","3.8027","Log unit","","-","","-","53-86-1"
"OC(=O)CS","-","101","Mercaptoacetic acid","-","Koerner","A8743","19630371","-","-","3.55","Log unit","OC(=O)CS","","","-","3","4.2001","Log unit","","-","","-","68-11-1"
"OC(=O)COC1=CC(F)=CC=C1","-","151","[(3-fluorophenyl)oxy]acetic acid","-","Koerner","A8743","19630371","-","-","3.13","Log unit","OC(=O)COc1cc(F)ccc1","","","-","0","3.1243","Log unit","","-","","-","404-98-8"
"CCCC(O)=O","-","135","butanoic acid","-","Koerner","A8743","19630371","-","-","4.82","Log unit","OC(=O)CCC","","","-","0","4.9079","Log unit","","-","","-","107-92-6"
"OC(=O)CCl","-","111","chloroacetic acid","-","Koerner","A8743","19630371","-","-","2.87","Log unit","OC(=O)CCl","","","-","0","3.0557","Log unit","","-","","-","79-11-8"
"CC(C)CC(O)=O","-","158","3-Methylbutanoic acid","-","Koerner","A8743","19630371","-","-","4.77","Log unit","OC(=O)CC(C)C","","","-","6","5.0102","Log unit","","-","","-","503-74-2"
"NC1=CC=C(C=C1)C(=O)NCC(O)=O","-","97","N-[(4-aminophenyl)carbonyl]glycine","-","Koerner","A8743","19630371","-","-","3.8","Log unit","Nc1ccc(C(=O)NCC(=O)O)cc1","","","-","6","4.2424","Log unit","","-","","-","61-78-9"
"COC1=CC=CC=C1C(O)=O","-","78","2-(methyloxy)benzoic acid","-","Koerner","A8743","19630371","-","-","3.9","Log unit","OC(=O)c1ccccc1OC","","","-","9","3.7271","Log unit","","-","","-","579-75-9"
"CC(C)(C)C(O)=O","-","103","2,2-DIMETHYLPROPANOIC ACID","-","Koerner","A8743","19630371","-","-","5.03","Log unit","OC(=O)C(C)(C)C","","","-","6","4.9282","Log unit","","-","","-","75-98-9"
"COC1=C(Cl)C=CC(Cl)=C1C(O)=O","-","86","3,6-dichloro-2-(methyloxy)benzoic acid","-","Koerner","A8743","19630371","-","-","1.97","Log unit","OC(=O)c1c(OC)c(Cl)ccc1Cl","","","-","2","2.5424","Log unit","","-","","-","1918-00-9"
"OC(C(O)=O)C1=CC=CC=C1","-","120","Hydroxy(phenyl)acetic acid","-","Koerner","A8743","19630371","-","-","3.41","Log unit","OC(=O)C(O)c1ccccc1","","","-","3","3.7512","Log unit","","-","","-","90-64-2"
"OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl","-","145","4-{4-[bis(2-chloroethyl)amino]phenyl}butanoic acid/chlorambucil","-","Koerner","A8743","19630371","-","-","5.75","Log unit","OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl","","","-","11","4.4555","Log unit","","-","","-","305-03-3"
"CC1(C)S[C@@H]2[C@H](NC(=O)CC3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O","-","98","3,3-dimethyl-7-oxo-6-[(phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid/benzylpenicillin","-","Koerner","A8743","19630371","-","-","2.74","Log unit","OC(=O)C1C(C)(C)SC2C(C(=O)N12)NC(=O)Cc1ccccc1","","","-","5","3.5293","Log unit","","-","","-","61-33-6"
"CC(O)C(O)=O","-","95","2-hydroxypropanoic acid","-","Koerner","A8743","19630371","-","-","3.86","Log unit","OC(=O)C(C)O","","","-","4","3.7849","Log unit","","-","","-","50-21-5"
"OC(=O)CBr","-","113","Bromoacetic Acid","-","Koerner","A8743","19630371","-","-","2.89","Log unit","OC(=O)CBr","","","-","2","2.639","Log unit","","-","","-","79-08-3"
"CC(C)C(O)=O","-","109","2-Methylpropanoic acid","-","Koerner","A8743","19630371","-","-","4.84","Log unit","OC(=O)C(C)C","","","-","4","4.8669","Log unit","","-","","-","79-31-2"
