"SMILES","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC group given","IC smiles given","IC index predicted","AtomNR of IC","groupsAndICs","IC group detected","MultiGroupDetection","CASRN"
"NC1=CC=C2NC(CC3=CC=CC=C3)=[N+]C2=C1","5-amono-2-benzyl-benzimidazole","-","A5793","-","-","-","3.3","Log unit","3.3","Log unit","25.0","?C","[nH]1c(Cc2ccccc2)[n+]c2cc(N)ccc12","2.1652","Log unit","4","N1C(Cc3ccccc3)=[N+1]c2cc(N)ccc12","0","","","","","-"
"CC1=NC2=C(N)C=CC=C2N1","4-amino-2-methylbenzimidazole","-","A5793","-","-","-","5.9","Log unit","5.9","Log unit","25.0","?C","n1c([nH]c2cccc(c12)N)C","6.9254","Log unit","nethR","N1C(C)=Nc2c(N)cccc12","3","","","","","-"
"CC1=[N+]C2=C(N)C=CC=C2N1","4-amino-2-methylbenzimidazole","-","A5793","-","-","-","1.7","Log unit","1.7","Log unit","25.0","?C","[nH]1c(C)[n+]c2c(N)cccc12","2.99","Log unit","4","N1C(C)=[N+1]c2c(N)cccc12","0","","","","","-"
"CC1=NC2=CC(N)=CC=C2N1","5-amino-2-methylbenzimidazole","-","A5793","-","-","-","6.7","Log unit","6.7","Log unit","25.0","?C","n1c([nH]c2ccc(cc12)N)C","7.8279","Log unit","nethR","N1C(C)=Nc2cc(N)ccc12","3","","","","","-"
"CC1=[N+]C2=CC(N)=CC=C2N1","5-amino-2-methylbenzimidazole","-","A5793","-","-","-","3.42","Log unit","3.42","Log unit","25.0","?C","[nH]1c(C)[n+]c2cc(N)ccc12","2.4272","Log unit","4","N1C(C)=[N+1]c2cc(N)ccc12","0","","","","","-"
"CCC1=NC2=CC=CC=C2N1","2-Ethylbenzimidazole","-","A5793","-","-","-","6.2","Log unit","6.2","Log unit","25.0","?C","n1c([nH]c2ccccc12)CC","6.2044","Log unit","nethR","N1C(CC)=Nc2ccccc12","4","","","","","-"
"CC1=NC2=CC=CC=C2N1","2-methylbenzimidazole","-","A5793","-","-","-","6.2","Log unit","6.2","Log unit","25.0","?C","n1c([nH]c2ccccc12)C","6.3275","Log unit","nethR","N1C(C)=Nc2ccccc12","3","","","","","-"
"CC1=NC2=CC=CC=C2N1","2-methylbenzimidazole","-","A5793","-","-","-","13.8","Log unit","13.8","Log unit","25.0","?C","[nH]1c(C)nc2ccccc12","12.7013","Log unit","nr2_a","N1C(C)=Nc2ccccc12","0","","","","","-"
"CCC1=NC2=CC=CC=C2N1","2-isopropyl-benzimidazole","-","A5793","-","-","-","6.21","Log unit","6.21","Log unit","25.0","?C","n1c([nH]c2ccccc12)CC","6.2044","Log unit","nethR","N1C(CC)=Nc2ccccc12","4","","","","","-"
"CN(C)CCC1=NC2=CC=CC=C2N1","2-dimethylaminoethyl-benzimidazole","-","A5793","-","-","-","6.2","Log unit","6.2","Log unit","25.0","?C","n1c([nH]c2ccccc12)CCN(C)C","5.4173","Log unit","nethR","N1C(CCN(C)C)=Nc2ccccc12","7","","","","","-"
"N1C2=CC=CC=C2N=C1C1=CC=CC=C1","2-phenyl-benzimidazole","-","A5793","-","-","-","11.91","Log unit","11.91","Log unit","25.0","?C","[nH]1c(c2ccccc2)nc2ccccc12","11.5053","Log unit","nr2_a","N1C(c3ccccc3)=Nc2ccccc12","0","","","","","-"
"O=N(=O)C1=CC=C2NC=NC2=C1","5-nitroobenzimidazole","-","A5793","-","-","-","4.4","Log unit","4.4","Log unit","25.0","?C","n1c[nH]c2ccc(cc12)N(=O)=O","4.2431","Log unit","nethR","N1C=Nc2cc(N(=O)=O)ccc12","2","","","","","-"
"O=N(=O)C1=CC=C2NC=NC2=C1","5-nitroobenzimidazole","-","A5793","-","-","-","10.84","Log unit","10.84","Log unit","25.0","?C","[nH]1cnc2cc(N(=O)=O)ccc12","11.28","Log unit","nr2_a","N1C=Nc2cc(N(=O)=O)ccc12","0","","","","","-"
"NC1=NC2=C(S1)C=CC=C2","2-amino-benzothiazole","-","A5793","-","-","-","4.3","Log unit","4.3","Log unit","25.0","?C","n1c2ccccc2sc1N","4.4755","Log unit","nethR","c1cccc2N=C(N)S-c12","5","","","","","-"
"COC1=CC=CC2=C1N=C(N)S2","2-amino-4-methoxy-benzothiazole","-","A5793","-","-","-","4.29","Log unit","4.29","Log unit","25.0","?C","n1c2c(cccc2sc1N)OC","3.7713","Log unit","nethR","c1ccc(OC)c2N=C(N)S-c12","7","","","","","-"
"COC1=CC2=C(SC(N)=N2)C=C1","2-amino-5-methoxy-benzothiazole","-","A5793","-","-","-","4.35","Log unit","4.35","Log unit","25.0","?C","n1c2cc(ccc2sc1N)OC","4.9368","Log unit","nethR","c1cc(OC)cc2N=C(N)S-c12","7","","","","","-"
"COC1=CC2=C(C=C1)N=C(N)S2","2-amino-6-methoxy-benzothiazole","-","A5793","-","-","-","4.5","Log unit","4.5","Log unit","25.0","?C","n1c2ccc(cc2sc1N)OC","4.7224","Log unit","nethR","c1c(OC)ccc2N=C(N)S-c12","7","","","","","-"
"CC1=CC=CC2=C1N=C(N)S2","2-amino-4-methyl-benzothiazole","-","A5793","-","-","-","4.7","Log unit","4.7","Log unit","25.0","?C","n1c2c(cccc2sc1N)C","4.7419","Log unit","nethR","c1ccc(C)c2N=C(N)S-c12","6","","","","","-"
"CC1=CC2=C(SC(N)=N2)C=C1","2-amino-5-methyl-benzothiazole","-","A5793","-","-","-","4.6","Log unit","4.6","Log unit","25.0","?C","n1c2cc(ccc2sc1N)C","4.8992","Log unit","nethR","c1cc(C)cc2N=C(N)S-c12","6","","","","","-"
"CC1=CC2=C(C=C1)N=C(N)S2","2-Amino-6-methyl-benzothiazole","-","A5793","-","-","-","4.6","Log unit","4.6","Log unit","25.0","?C","n1c2ccc(cc2sc1N)C","4.6677","Log unit","nethR","c1c(C)ccc2N=C(N)S-c12","6","","","","","-"
"CC1=CC=CC2=C1SC(N)=N2","2-amino-7-methyl-benzothiazole","-","A5793","-","-","-","4.6","Log unit","4.6","Log unit","25.0","?C","n1c2cccc(C)c2sc1N","5.029","Log unit","nethR","c1(C)cccc2N=C(N)S-c12","6","","","","","-"
"N1N=CC2=CC=CC=C12","33 1H-indazole","-","A5793","-","-","-","13.8","Log unit","13.8","Log unit","25.0","?C","[nH]1ncc2ccccc12","13.5827","Log unit","nr2_a","N1N=Cc2ccccc12","0","","","","","-"
"NC1=NNC2=CC=CC=C12","33 1H-3-aminoindazole","-","A5793","-","-","-","3.12","Log unit","3.12","Log unit","25.0","?C","n1[nH]c2ccccc2c1N","2.9475","Log unit","4","N1N=C(N)c2ccccc12","1","","","","","-"
"NC1=C2C=NNC2=CC=C1","33 1H-4-aminoindazole","-","A5793","-","-","-","3.26","Log unit","3.26","Log unit","25.0","?C","Nc1c2cn[nH]c2ccc1","2.7597","Log unit","4","N1N=Cc2c(N)cccc12","5","","","","","-"
"NC1=CC=C2NN=CC2=C1","33 1H-5-aminoindazole","-","A5793","-","-","-","5.12","Log unit","5.12","Log unit","25.0","?C","Nc1cc2cn[nH]c2cc1","3.3974","Log unit","4","N1N=Cc2cc(N)ccc12","6","","","","","-"
"NC1=CC=C2C=NNC2=C1","33 1H-6-aminoindazole","-","A5793","-","-","-","3.99","Log unit","3.99","Log unit","25.0","?C","Nc1ccc2cn[nH]c2c1","3.4707","Log unit","4","N1N=Cc2ccc(N)cc12","7","","","","","-"
"NC1=C2NN=CC2=CC=C1","33 1H-7-aminoindazole","-","A5793","-","-","-","3.09","Log unit","3.09","Log unit","25.0","?C","n1[nH]c2c(cccc2c1)N","1.8515","Log unit","4","N1N=Cc2cccc(N)c12","1","","","","","-"
"O=N(=O)C1=C2C=NNC2=CC=C1","33 1H-4-nitroindazole","-","A5793","-","-","-","11.57","Log unit","11.57","Log unit","25.0","?C","[nH]1ncc2c(N(=O)=O)cccc12","9.7082","Log unit","nr2_a","N1N=Cc2c(N(=O)=O)cccc12","0","","","","","-"
"O=N(=O)C1=CC=C2NN=CC2=C1","33 1H-5-nitroindazole","-","A5793","-","-","-","11.69","Log unit","11.69","Log unit","25.0","?C","[nH]1ncc2cc(N(=O)=O)ccc12","12.7023","Log unit","nr2_a","N1N=Cc2cc(N(=O)=O)ccc12","0","","","","","-"
"O=N(=O)C1=CC=C2C=NNC2=C1","33 1H-6-nitroindazole","-","A5793","-","-","-","11.67","Log unit","11.67","Log unit","25.0","?C","[nH]1ncc2ccc(N(=O)=O)cc12","9.5197","Log unit","nr2_a","N1N=Cc2ccc(N(=O)=O)cc12","0","","","","","-"
"O=N(=O)C1=C2NN=CC2=CC=C1","33 1H-7-nitroindazole","-","A5793","-","-","-","12.48","Log unit","12.48","Log unit","25.0","?C","[nH]1ncc2cccc(N(=O)=O)c12","10.2559","Log unit","nr2_a","N1N=Cc2cccc(N(=O)=O)c12","0","","","","","-"
"Nc1cc([n+]c(c1)C([O-])=O)C(O)=O","4-amino-2,6-dicarboxypyridine","-","A5793","-","-","-","1.8","Log unit","1.8","Log unit","25.0","?C","[O-]C(=O)c1[n+]c(cc(N)c1)C(=O)O","2.2137","Log unit","co2h","[n+1](c(cc1N)C(=O)O)c(c1)C(=O)[O-1]","12","","","","","-"
"Nc1[n+]cccc1C(O)=O","2-amino-3-carboxypyridine","-","A5793","-","-","-","2.4","Log unit","2.4","Log unit","25.0","?C","OC(=O)c1c([n+]ccc1)N","2.8464","Log unit","co2h","[n+1](ccc1)c(N)c1C(=O)O","9","","","","","-"
"Nc1ccc[n+]c1C(O)=O","3-amino-2-carboxypyridine","-","A5793","-","-","-","1.5","Log unit","1.5","Log unit","25.0","?C","OC(=O)c1[n+]cccc1N","2.4608","Log unit","co2h","[n+1](ccc1)c(c1N)C(=O)O","9","","","","","-"
"[NH2+]CCC1=CC=CC=N1","2-(2-aminoethyl)-pyridine","-","A5793","-","-","-","3.8","Log unit","3.8","Log unit","25.0","?C","n1ccccc1CC[NH2+]","5.3303","Log unit","n","n(ccc1)c(c1)CC[N+1]","0","","","","","-"
"NC1=CC([O-])=CC=N1","2-amino-4-hydroxypyridine","-","A5793","-","-","-","10.7","Log unit","10.7","Log unit","25.0","?C","[O-]c1ccnc(c1)N","11.1314","Log unit","n","n(ccc1[O-1])c(c1)N","4","","","","","-"
"NC1=CC=CC([O-])=N1","2-amino-6-hydroxypyridine","-","A5793","-","-","-","11.38","Log unit","11.38","Log unit","25.0","?C","[O-]c1nc(ccc1)N","11.603","Log unit","n","n(c(cc1)[O-1])c(c1)N","4","","","","","-"
"NC1=C([O-])N=CC=C1","3-Amino-2-hydroxypyridine","-","A5793","-","-","-","12.57","Log unit","12.57","Log unit","25.0","?C","[O-]c1ncccc1N","12.2309","Log unit","n","n(ccc1)c([O-1])c1N","5","","","","","-"
"NC1=CN=CC=C1[O-]","3-amino-4-hydroxypyridine","-","A5793","-","-","-","11.38","Log unit","11.38","Log unit","25.0","?C","[O-]c1ccncc1N","11.572","Log unit","n","n(ccc1[O-1])cc1N","4","","","","","-"
"Nc1c[n+]ccc1O","3-amino-4-hydroxypyridine","-","A5793","-","-","-","3.84","Log unit","3.84","Log unit","25.0","?C","Oc1cc[n+]cc1N","7.8035","Log unit","oh","[n+1](ccc1O)cc1N","4","","","","","-"
"NC1=CC=NC([O-])=C1","4-amino-2-hydroxypyridine","-","A5793","-","-","-","13.54","Log unit","13.54","Log unit","25.0","?C","[O-]c1nccc(N)c1","11.4765","Log unit","n","n(ccc1N)c(c1)[O-1]","7","","","","","-"
"NC1=CC=C([O-])N=C1","5-amino-2-hydroxypyridine","-","A5793","-","-","-","11.65","Log unit","11.65","Log unit","25.0","?C","[O-]c1ncc(cc1)N","12.7174","Log unit","n","n(cc(c1)N)c(c1)[O-1]","7","","","","","-"
"Nc1c[n+]ccc1S","3-amino-4-mercaptopyridine","-","A5793","-","-","-","1.6","Log unit","1.6","Log unit","25.0","?C","Sc1cc[n+]cc1N","4.6773","Log unit","sh","S-c(cc[n+1]1)c(c1)N","0","","","","","-"
"NC1=CN=CC=C1[S-]","3-amino-4-mercaptopyridine","-","A5793","-","-","-","9.2","Log unit","9.2","Log unit","25.0","?C","[S-]c1ccncc1N","5.9643","Log unit","n","[S-1]-c(ccn1)c(c1)N","0","","","","","-"
"[NH2+]CC1=CC=CC=N1","2-aminomethylpyridine","-","A5793","-","-","-","3.1","Log unit","3.1","Log unit","25.0","?C","n1ccccc1C[NH2+]","3.9483","Log unit","n","n(ccc1)c(c1)C[N+1]","0","","","","","-"
"NC1=CC=C(C=C1)c1cccc[n+]1","2-p-aminophenylpyridine","-","A5793","-","-","-","2.47","Log unit","2.47","Log unit","25.0","?C","Nc1ccc(c2[n+]cccc2)cc1","2.0142","Log unit","nr2","[n+1](ccc1)c(c1)c(ccc2N)cc2","10","","","","","-"
"NC1=CC=C(C=C1)c1cc[n+]cc1","2-p-aminophenylpyridine","-","A5793","-","-","-","2.75","Log unit","2.75","Log unit","25.0","?C","Nc1ccc(c2cc[n+]cc2)cc1","3.502","Log unit","nr2","[n+1]1ccc(c2ccc(N)cc2)cc1","8","","","","","-"
"C[N+](C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1","2-[benzyl(2-dimethylaminoethyl)amino]-pyridine","-","A5793","-","-","-","3.92","Log unit","3.92","Log unit","25.0","?C","n1ccccc1N(Cc1ccccc1)CC[N+](C)C","6.3392","Log unit","n","n(ccc1)c(c1)N(C-c(ccc2)cc2)CC[N+1](C)C","0","","","","","-"
"CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1","2-[benzyl(2-dimethylaminoethyl)amino]-pyridine","-","A5793","-","-","-","8.5","Log unit","8.5","Log unit","25.0","?C","N(CCN(c1ncccc1)Cc1ccccc1)(C)C","8.764","Log unit","2","n(ccc1)c(c1)N(C-c(ccc2)cc2)CCN(C)C","16","","","","","-"
"OC(=O)c1cccc[n+]1","2-Carboxypyridine","-","A5793","-","-","-","1.0","Log unit","1.0","Log unit","25.0","?C","OC(=O)c1[n+]cccc1","1.7967","Log unit","co2h","[n+1](ccc1)c(c1)C(=O)O","8","","","","","-"
"OC(=O)c1ccc[n+]c1","3-Carboxypyridine","-","A5793","-","-","-","2.03","Log unit","2.03","Log unit","25.0","?C","OC(=O)c1c[n+]ccc1","2.6972","Log unit","co2h","[n+1](ccc1)cc1C(=O)O","8","","","","","-"
"OC(=O)c1cc[n+]cc1","4-Carboxypyridine","-","A5793","-","-","-","1.755","Log unit","1.755","Log unit","25.0","?C","OC(=O)c1cc[n+]cc1","2.9097","Log unit","co2h","[n+1](ccc1C(=O)O)cc1","6","","","","","-"
"Cc1cccc([n+]1)C(O)=O","2-Carboxy-6-methylpyridine","-","A5793","-","-","-","0.9","Log unit","0.9","Log unit","25.0","?C","OC(=O)c1[n+]c(ccc1)C","1.8027","Log unit","co2h","[n+1](c(cc1)C)c(c1)C(=O)O","9","","","","","-"
"[O-]C1=CC(Cl)=NC=C1","2-chloro-4-hydroxypyridine","-","A5793","-","-","-","6.84","Log unit","6.84","Log unit","25.0","?C","[O-]c1cc(Cl)ncc1","10.1111","Log unit","n","Cl-c(ncc1)cc1[O-1]","7","","","","","-"
"Oc1cc[n+]c(Cl)c1","2-chloro-4-hydroxypyridine","-","A5793","-","-","-","2.07","Log unit","2.07","Log unit","25.0","?C","Oc1cc(Cl)[n+]cc1","6.4473","Log unit","oh","Cl-c([n+1]cc1)cc1O","7","","","","","-"
"[O-]C1=NC=C(Cl)C=C1","5-Chloro-2-hydroxypyridine","-","A5793","-","-","-","10.03","Log unit","10.03","Log unit","25.0","?C","[O-]c1ncc(Cl)cc1","10.7642","Log unit","n","Cl-c(cnc1[O-1])cc1","5","","","","","-"
"Oc1ccc(Cl)c[n+]1","5-Chloro-2-hydroxypyridine","-","A5793","-","-","-","0.01","Log unit","0.01","Log unit","25.0","?C","Oc1[n+]cc(Cl)cc1","1.9262","Log unit","oh","Cl-c(c[n+1]c1O)cc1","5","","","","","-"
"C(C=C(C1=CC=CC=C1)C1=CC=CC=N1)[N+]1CCCC1","2-(1-p-chlorophenyl-3-pyrrolidino)prop-1-enylpyridine","-","A5793","-","-","-","3.2","Log unit","3.2","Log unit","25.0","?C","n1ccccc1C(=CC[N+]1CCCC1)c1ccccc1","3.8311","Log unit","n","n(ccc1)c(c1)C(c(ccc2)cc2)=CC[N+1](CC3)CC3","0","","","","","-"
"CN(C)CCN(CC1=CC=C(Cl)S1)C1=NC=CC=C1","2-[(5-chloro-2-thienyl)(2-dimethylaminoethyl)amino]-pyridine","-","A5793","-","-","-","8.42","Log unit","8.42","Log unit","25.0","?C","N(CCN(Cc1sc(Cl)cc1)c1ncccc1)(C)C","8.7639","Log unit","2","ClC(SC=1CN(-c(ncc2)cc2)CCN(C)C)=CC1","14","","","","","-"
"OC(=O)c1[n+]cccc1C([O-])=O","2,3-dicarboxypyridine","-","A5793","-","-","-","2.43","Log unit","2.43","Log unit","25.0","?C","OC(=O)c1[n+]cccc1C(=O)[O-]","2.082","Log unit","co2h","[n+1](ccc1)c(c1C(=O)[O-1])C(=O)O","11","","","","","-"
"[O-]C(=O)C1=C(N=CC=C1)C([O-])=O","2,3-dicarboxypyridine","-","A5793","-","-","-","5.06","Log unit","5.06","Log unit","25.0","?C","[O-]C(=O)c1c(nccc1)C(=O)[O-]","5.2584","Log unit","n","n(ccc1)c(c1C(=O)[O-1])C(=O)[O-1]","8","","","","","-"
"[O-]C(=O)C1=CC=CC(=N1)C([O-])=O","2,6-Dicarboxypyridine","-","A5793","-","-","-","4.68","Log unit","4.68","Log unit","25.0","?C","[O-]C(=O)c1nc(ccc1)C(=O)[O-]","3.9912","Log unit","n","n(c(cc1)C(=O)[O-1])c(c1)C(=O)[O-1]","11","","","","","-"
"OC(=O)c1cccc([n+]1)C([O-])=O","2,6-Dicarboxypyridine","-","A5793","-","-","-","1.8","Log unit","1.8","Log unit","25.0","?C","OC(=O)c1[n+]c(ccc1)C(=O)[O-]","2.1061","Log unit","co2h","[n+1](c(cc1)C(=O)O)c(c1)C(=O)[O-1]","6","","","","","-"
"[O-]C(=O)C1=CC=NC=C1C([O-])=O","3,4-dicarboxypyridine","-","A5793","-","-","-","5.07","Log unit","5.07","Log unit","25.0","?C","[O-]C(=O)c1cnccc1C(=O)[O-]","5.1579","Log unit","n","n(ccc1C(=O)[O-1])cc1C(=O)[O-1]","11","","","","","-"
"OC(=O)c1c[n+]cc(c1)C(O)=O","3,5-dicarboxypyridine","-","A5793","-","-","-","1.4","Log unit","1.4","Log unit","25.0","?C","OC(=O)c1c[n+]cc(c1)C(=O)O","2.3667","Log unit","co2h","[n+1](cc(c1)C(=O)O)cc1C(=O)O","6","","","","","-"
"OC(=O)c1c[n+]cc(c1)C([O-])=O","3,5-dicarboxypyridine","-","A5793","-","-","-","2.42","Log unit","2.42","Log unit","25.0","?C","[O-]C(=O)c1c[n+]cc(c1)C(=O)O","2.3667","Log unit","co2h","[n+1](cc(c1)C(=O)[O-1])cc1C(=O)O","6","","","","","-"
"OC(=O)c1cc(Cl)cc([n+]1)C([O-])=O","2,6-dicarboxy-4-chloropyridine","-","A5793","-","-","-","1.4","Log unit","1.4","Log unit","25.0","?C","[O-]C(=O)c1cc(Cl)cc([n+]1)C(=O)O","1.4416","Log unit","co2h","Cl-c(cc([n+1]1)C(=O)[O-1])cc1C(=O)O","7","","","","","-"
"[O-]C(=O)C1=CC(Cl)=CC(=N1)C([O-])=O","2,6-dicarboxy-4-chloropyridine","-","A5793","-","-","-","3.75","Log unit","3.75","Log unit","25.0","?C","[O-]C(=O)c1cc(Cl)cc(n1)C(=O)[O-]","3.894","Log unit","n","Cl-c(cc(n1)C(=O)[O-1])cc1C(=O)[O-1]","12","","","","","-"
"Cc1[n+]c(C)c(cc1C(O)=O)C(O)=O","3,5-dicarboxy-2,6-dimethylpyridine","-","A5793","-","-","-","2.02","Log unit","2.02","Log unit","25.0","?C","OC(=O)c1c([n+]c(C)c(c1)C(=O)O)C","2.2362","Log unit","co2h","[n+1](c(C)c(c1)C(=O)O)c(C)c1C(=O)O","7","","","","","-"
"Cc1[n+]c(C)c(cc1C(O)=O)C([O-])=O","3,5-dicarboxy-2,6-dimethylpyridine","-","A5793","-","-","-","2.52","Log unit","2.52","Log unit","25.0","?C","[O-]C(=O)c1c([n+]c(C)c(c1)C(=O)O)C","2.2362","Log unit","co2h","[n+1](c(C)c(c1)C(=O)[O-1])c(C)c1C(=O)O","7","","","","","-"
"[O-]C(=O)C1=CC([O-])=CC(=N1)C([O-])=O","2,6-dicarboxy-4-hydroxypyridine","-","A5793","-","-","-","10.85","Log unit","10.85","Log unit","25.0","?C","[O-]c1cc(nc(c1)C(=O)[O-])C(=O)[O-]","11.0493","Log unit","n","n(c(cc1[O-1])C(=O)[O-1])c(c1)C(=O)[O-1]","4","","","","","-"
"Oc1cc([n+]c(c1)C([O-])=O)C([O-])=O","2,6-dicarboxy-4-hydroxypyridine","-","A5793","-","-","-","3.18","Log unit","3.18","Log unit","25.0","?C","[O-]C(=O)c1[n+]c(cc(O)c1)C(=O)[O-]","2.0765","Log unit","oh","[n+1](c(cc1O)C(=O)[O-1])c(c1)C(=O)[O-1]","12","","","","","-"
"OC(=O)c1cc(O)cc([n+]1)C([O-])=O","2,6-dicarboxy-4-hydroxypyridine","-","A5793","-","-","-","1.3","Log unit","1.3","Log unit","25.0","?C","[O-]C(=O)c1[n+]c(cc(c1)O)C(=O)O","1.4366","Log unit","co2h","[n+1](c(cc1O)C(=O)[O-1])c(c1)C(=O)O","7","","","","","-"
"C[N+](C)CCC1=CN=CC=C1","3-(dimethylaminoethyl)-pyridine","-","A5793","-","-","-","4.3","Log unit","4.3","Log unit","25.0","?C","n1cccc(c1)CC[N+](C)C","5.3294","Log unit","n","n(ccc1)cc1CC[N+1](C)C","0","","","","","-"
"C[N+](C)CCC1=CC=NC=C1","4-(DIMETHYLAMINOETHYL)PYRIDINE","-","A5793","-","-","-","4.66","Log unit","4.66","Log unit","25.0","?C","n1ccc(CC[N+](C)C)cc1","5.1975","Log unit","n","n(ccc1CC[N+1](C)C)cc1","0","","","","","-"
"COC1=CC=C(CN(CCN(C)C)C2=CC=CC=N2)C=C1","2-[(2-dimethylaminoethyl)(p-methoxybenzyl)amino]-pyridine","-","A5793","-","-","-","8.91","Log unit","8.91","Log unit","25.0","?C","N(CCN(c1ncccc1)Cc1ccc(OC)cc1)(C)C","8.764","Log unit","2","n(ccc1)c(c1)N(Cc(ccc2OC)cc2)CCN(C)C","18","","","","","-"
"COC1=CC=C(CN(CC[N+](C)C)C2=CC=CC=N2)C=C1","2-[(2-dimethylaminoethyl)(p-methoxybenzyl)amino]-pyridine","-","A5793","-","-","-","4.02","Log unit","4.02","Log unit","25.0","?C","n1ccccc1N(Cc1ccc(OC)cc1)CC[N+](C)C","6.3392","Log unit","n","n(ccc1)c(c1)N(Cc(ccc2OC)cc2)CC[N+1](C)C","0","","","","","-"
"C[N+](C)CCN(CC1=CC=CS1)C1=NC=CC=C1","2-[(2-dimethylaminoethyl)-2-thienylamino]-pyridine","-","A5793","-","-","-","3.66","Log unit","3.66","Log unit","25.0","?C","n1c(N(Cc2sccc2)CC[N+](C)C)cccc1","6.3307","Log unit","n","S(C=C1)C(=C1)CN(c(ncc2)cc2)CC[N+1](C)C","8","","","","","-"
"NC(=N)C(O)C1=CC=CC=C1","(C-amidino-C-hydroxy)methylbenzene","-","A5793","-","-","-","11.1","Log unit","11.1","Log unit","25.0","?C","N=C(C(c1ccccc1)O)N","9.2048","Log unit","neth","c(ccc1C(O)C(=N)N)cc1","7","","","","","-"
"CCC(O)(C(N)=N)C1=CC=CC=C1","(1-amidineo-1-hydroxy)propylbenzene","-","A5793","-","-","-","11.4","Log unit","11.4","Log unit","25.0","?C","OC(c1ccccc1)(C(=N)N)CC","12.8124","Log unit","neth","c(ccc1C(O)(C(=N)N)CC)cc1","5","","","","","-"
"NC(CC1=CC=CC=C1)=NO","(2-amino-2-hydroxyimino)ethylbenzene","-","A5793","-","-","-","5.2","Log unit","5.2","Log unit","25.0","?C","N(=C(Cc1ccccc1)N)O","5.3571","Log unit","neth","c(ccc1CC(=NO)N)cc1","6","","","","","-"
"NC(=NO)C1=CC=CC=C1","C-amino-C-hydroxyiminoethylbenzene","-","A5793","-","-","-","4.79","Log unit","4.79","Log unit","25.0","?C","N(=C(c1ccccc1)N)O","5.0556","Log unit","neth","c(ccc1C(=NO)N)cc1","5","","","","","-"
"CC1=CC=CC=C1C(N)=NO","1-(C-amino-C-hydroxyiminomethyl)-2-methylbenzene","-","A5793","-","-","-","3.99","Log unit","3.99","Log unit","25.0","?C","N(=C(c1ccccc1C)N)O","5.2588","Log unit","neth","c(ccc1C(=NO)N)cc1C","5","","","","","-"
"CC1=CC=C(C=C1)C(N)=NO","1-(C-amino-C-hydroxyiminomethyl)-4-methylbenzene","-","A5793","-","-","-","5.1","Log unit","5.1","Log unit","25.0","?C","N(=C(c1ccc(cc1)C)N)O","5.3503","Log unit","neth","c(cc(c1)C(=NO)N)c(c1)C","5","","","","","-"
"NC(=N)NC1=CC=C(Cl)C=C1","1-chloro-4-guanidinobenzene","-","A5793","-","-","-","10.9","Log unit","10.9","Log unit","25.0","?C","N=C(Nc1ccc(Cl)cc1)N","10.2331","Log unit","neth","Cl-c(ccc1NC(=N)N)cc1","7","","","","","-"
"ClC1=CC=CC=C1C(=N)C1=CC=CC=C1","1-chloro-2-iminobenzylbenzene","-","A5793","-","-","-","5.9","Log unit","5.9","Log unit","25.0","?C","N=C(c1c(Cl)cccc1)c1ccccc1","7.3303","Log unit","neth","Cl-c(ccc1)c(c1)C(=N)c(ccc2)cc2","8","","","","","-"
"ClC1=CC=CC=C1C(=N)C1=CC=CC=C1","1-chloro-3-iminobenzylbenzene","-","A5793","-","-","-","6.0","Log unit","6.0","Log unit","25.0","?C","N=C(c1c(Cl)cccc1)c1ccccc1","7.3303","Log unit","neth","Cl-c(ccc1)c(c1)C(=N)c(ccc2)cc2","8","","","","","-"
"CNC(=N)NC1=CC=C(Cl)C=C1","1-chloro-4-N3-methylguanidinobenzene","-","A5793","-","-","-","11.15","Log unit","11.15","Log unit","25.0","?C","N=C(Nc1ccc(Cl)cc1)NC","10.467","Log unit","neth","Cl-c(ccc1NC(=N)NC)cc1","7","","","","","-"
"OC1=CC=C(C(=N)C2=CC=CC=C2)C(O)=C1","1,3-dihydroxy-4-iminobenzylbenzene","-","A5793","-","-","-","9.3","Log unit","9.3","Log unit","25.0","?C","Oc1c(C(=N)c2ccccc2)ccc(O)c1","8.7399","Log unit","neth","c(ccc1C(=N)c(ccc2O)c(O)c2)cc1","12","","","","","-"
"OC1=CC(=CC=C1)C(=N)C1=CC=CC=C1","1-hydroxy-3-iminobenzylbenzene","-","A5793","-","-","-","7.0","Log unit","7.0","Log unit","25.0","?C","N=C(c1ccccc1)c1cccc(c1)O","8.0137","Log unit","neth","c(ccc1C(=N)c(ccc2)cc2O)cc1","5","","","","","-"
"OC1=CC=C(C=C1)C(=N)C1=CC=CC=C1","1-hydroxy-4-iminobenzylbenzene","-","A5793","-","-","-","7.85","Log unit","7.85","Log unit","25.0","?C","N=C(c1ccccc1)c1ccc(O)cc1","8.1429","Log unit","neth","c(ccc1C(=N)-c(ccc2O)cc2)cc1","5","","","","","-"
