"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","IC group given","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","pKa predicted value","UNIT {pKa predicted value}","IC smiles given","AtomNR of IC","groupsAndICs","COMMENTS","INCHI_KEY"
"COC1=CC=CC(OCC(O)=O)=C1","2088-24-6","R1509706","M146","-","197","{[3-(methyloxy)phenyl]oxy}acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.14","Log unit","3.14","Log unit","","-","OC(=O)COc1cc(OC)ccc1","","2","3.4131","Log unit","","-","","","","-","AHDPQRIYMMZJTF-UHFFFAOYSA"
"OC(=O)CCCCC1=CC=CC=C1","2270-20-4","R1509707","M1148","-","198","5-PHENYLPENTANOIC ACID","-","Koerner","Koerner","A8743","19630371","-","-","4.88","Log unit","4.88","Log unit","","-","OC(=O)CCCCc1ccccc1","","2","4.9404","Log unit","","-","","","","-","BYHDDXPKOZIZRV-UHFFFAOYSA"
"OC(=O)COC1=C2C=CC=CC2=CC=C1","2976-75-2","R1509708","M27641","-","199","(1-naphthalenyloxy)acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.2","Log unit","3.2","Log unit","","-","OC(=O)COc1c2ccccc2ccc1","","14","4.0486","Log unit","","-","","","","-","GHRYSOFWKRRLMI-UHFFFAOYSA"
"OC(=O)CN1C(=O)SC2=CC=CC(Cl)=C12","3813-05-6","R1509709","M4205","-","200","(4-chloro-2-oxo-1,3-benzothiazol-3(2H)-yl)acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.04","Log unit","3.04","Log unit","","-","OC(=O)Cn1c(=O)sc2c1c(Cl)ccc2","","0","3.0961","Log unit","","-","","","","-","HYJSGOXICXYZGS-UHFFFAOYSA"
"OC(=O)CC1CCCCC1","5292-21-7","R1509710","M30044","-","201","CYCLOHEXYLACETIC ACID","-","Koerner","Koerner","A8743","19630371","-","-","4.8","Log unit","4.8","Log unit","","-","OC(=O)CC1CCCCC1","","2","4.9396","Log unit","","-","","","","-","LJOODBDWMQKMFB-UHFFFAOYSA"
"OC(=O)COC1=C(O)C=CC=C1","6324-11-4","R1509711","M6378","-","202","[(2-hydroxyphenyl)oxy]acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.02","Log unit","3.02","Log unit","","-","OC(=O)COc1ccccc1O","","2","3.301","Log unit","","-","","","","-","LPXHPAYRONCQIF-UHFFFAOYSA"
"COC1=CC=C(C=C1)C(O)C(O)=O","10502-44-0","R1509712","M32566","-","203","hydroxy[4-(methyloxy)phenyl]acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.42","Log unit","3.42","Log unit","","-","OC(=O)C(c1ccc(cc1)OC)O","","12","3.428","Log unit","","-","","","","-","ITECRQOOEQWFPE-UHFFFAOYSA"
"CCC1=CC=C(CC(O)=O)C=C1","14387-10-1","R1509713","M33301","-","204","(4-ethylphenyl)acetic acid","-","Koerner","Koerner","A8743","19630371","-","","4.37","Log unit","4.37","Log unit","","-","OC(=O)Cc1ccc(CC)cc1","","","","-","","-","","","","","QMBLXRHXCGJOGU-UHFFFAOYSA"
"OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl","15307-86-5","R1509714","M1847","-","205","{2-[(2,6-dichlorophenyl)amino]phenyl}acetic acid/diclofenac","-","Koerner","Koerner","A8743","19630371","-","-","4.15","Log unit","4.15","Log unit","","-","OC(=O)Cc1c(Nc2c(Cl)cccc2Cl)cccc1","","14","3.9957","Log unit","","-","","","","-","DCOPUUMXTXDBNB-UHFFFAOYSA"
"CC(C)CC1=CC=C(C=C1)C(C)C(O)=O","15687-27-1","R1509715","M3742","-","206","2-[4-(2-methylpropyl)phenyl]propanoic acid/ibuprofen","-","Koerner","Koerner","A8743","19630371","-","-","4.45","Log unit","4.45","Log unit","","-","OC(=O)C(c1ccc(CC(C)C)cc1)C","","9","4.8519","Log unit","","-","","","","-","HEFNNWSXXWATRW-UHFFFAOYSA"
"C[C@@H](OC1=CC=C(Cl)C=C1C)C(O)=O","16484-77-8","R1509716","M12455","-","207","2-[(4-chloro-2-methylphenyl)oxy]propanoic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.68","Log unit","3.68","Log unit","","-","OC(=O)C(Oc1c(cc(Cl)cc1)C)C","","12","3.4652","Log unit","","-","","","","-","WNTGYJSOUMFZEP-SSDOTTSWSA"
"OC(=O)CCOC1=CC=CC2=C1C=CC=C2","16563-41-0","R1509717","M33884","-","208","3-(1-naphthalenyloxy)propanoic acid","-","Koerner","Koerner","A8743","19630371","-","","4.0","Log unit","4.0","Log unit","","-","OC(=O)CCOc1cccc2ccccc12","","","","-","","-","","","","","JPLBWCCELAOKOU-UHFFFAOYSA"
"OC(=O)CC1=C(N=C(S1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1","18046-21-4","R1509718","M34359","-","209","[4-(4-chlorophenyl)-2-phenyl-1,3-thiazol-5-yl]acetic acid/fentiazac","-","Koerner","Koerner","A8743","19630371","-","-","3.6","Log unit","3.6","Log unit","","-","OC(=O)Cc1sc(c2ccccc2)nc1c1ccc(Cl)cc1","","0","4.8225","Log unit","","-","","","","-","JIEKMACRVQTPRC-UHFFFAOYSA"
"CCC[C@@H](CC)C(O)=O","20225-24-5","R1509719","M130904","-","210","2-ETHYLPENTANOIC ACID","-","Koerner","Koerner","A8743","19630371","-","-","4.71","Log unit","4.71","Log unit","","-","OC(=O)C(CCC)CC","","0","5.0994","Log unit","","-","","","","-","BAZMYXGARXYAEQ-ZCFIWIBFSA"
"C[C@H](C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1","22071-15-4","R1509720","M2042","-","211","2-[3-(phenylcarbonyl)phenyl]propanoic acid/ketoprofen","-","Koerner","Koerner","A8743","19630371","-","-","4.45","Log unit","4.45","Log unit","","-","OC(=O)C(c1cc(ccc1)C(=O)c1ccccc1)C","","8","3.8826","Log unit","","-","","","","-","DKYWVDODHFEZIM-NSHDSACASA"
"OC(=O)CC1=CC=C(OCC=C)C(Cl)=C1","22131-79-9","R1509721","M410","-","212","[3-chloro-4-(2-propen-1-yloxy)phenyl]acetic acid/alcofenac","-","Koerner","Koerner","A8743","19630371","-","-","4.29","Log unit","4.29","Log unit","","-","OC(=O)Cc1ccc(c(Cl)c1)OCC=C","","0","3.7057","Log unit","","-","","","","-","ARHWPKZXBHOEEE-UHFFFAOYSA"
"COC1=CC2=C(C=C1)C=C(C=C2)[C@@H](C)C(O)=O","22204-53-1","R1509722","M1494","-","213","2-[6-(methyloxy)-2-naphthalenyl]propanoic acid/naprosyn","-","Koerner","Koerner","A8743","19630371","-","-","4.15","Log unit","4.15","Log unit","","-","OC(=O)C(c1cc2c(cc1)cc(OC)cc2)C","","1","4.1904","Log unit","","-","","","","-","CMWTZPSULFXXJA-SECBINFHSA"
"CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1","29679-58-1","R1509723","M9629","-","214","2-[3-(phenyloxy)phenyl]propanoic acid/fenoprofen","-","Koerner","Koerner","A8743","19630371","-","-","4.5","Log unit","4.5","Log unit","","-","OC(=O)C(C)c1cccc(Oc2ccccc2)c1","","3","3.959","Log unit","","-","","","","-","RDJGLLICXDHJDY-UHFFFAOYSA"
"CC(C)(C)C1=CC=C(CC(O)=O)C=C1","32857-63-9","R1509724","M37796","-","215","[4-(1,1-dimethylethyl)phenyl]acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","4.42","Log unit","4.42","Log unit","","-","OC(=O)Cc1ccc(cc1)C(C)(C)C","","2","4.8382","Log unit","","-","","","","-","RUAYXHSDAMWEDR-UHFFFAOYSA"
"OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1","36330-85-5","R1509725","M14278","-","216","4-(4-biphenylyl)-4-oxobutanoic acid/fenbufen","-","Koerner","Koerner","A8743","19630371","-","-","4.51","Log unit","4.51","Log unit","","-","OC(=O)CCC(=O)c1ccc(cc1)c1ccccc1","","18","4.2196","Log unit","","-","","","","-","ZPAKPRAICRBAOD-UHFFFAOYSA"
"CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C\C1=CC=C(C=C1)[S@](C)=O","38194-50-2","R1509726","M130906","-","217","((1E)-5-fluoro-2-methyl-1-{[4-(methylsulfinyl)phenyl]methylidene}-1H-inden-3-yl)acetic acid/sulindac","-","Koerner","Koerner","A8743","19630371","-","-","4.7","Log unit","4.7","Log unit","","-","OC(=O)CC1=C(C(=Cc2ccc(cc2)S(=O)C)c2c1cc(F)cc2)C","","13","4.0902","Log unit","","-","","","","-","MLKXDPUZXIRXEP-HCQJPZKZSA"
"C[C@@H](C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1","40828-46-4","R1509727","M130907","-","218","2-[4-(2-thienylcarbonyl)phenyl]propanoic acid/suprofen","-","Koerner","Koerner","A8743","19630371","-","-","3.91","Log unit","3.91","Log unit","","-","OC(=O)C(c1ccc(C(=O)c2sccc2)cc1)C","","17","4.0119","Log unit","","-","","","","-","MDKGKXOCJGEUJW-SECBINFHSA"
"C[C@H](OC1=CC=C(OC2=C(Cl)C=C(Cl)C=C2)C=C1)C(O)=O","40843-25-2","R1509728","M130908","-","219","2-({4-[(2,4-dichlorophenyl)oxy]phenyl}oxy)propanoic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.43","Log unit","3.43","Log unit","","-","OC(=O)C(Oc1ccc(Oc2c(Cl)cc(cc2)Cl)cc1)C","","20","2.917","Log unit","","-","","","","-","OOLBCHYXZDXLDS-VIFPVBQESA"
"OC(=O)CC1=CN(N=C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1","53808-88-1","R1509729","M40352","-","220","[3-(4-chlorophenyl)-1-phenyl-1H-pyrazol-4-yl]acetic acid/ionazolac","-","Koerner","Koerner","A8743","19630371","-","-","4.3","Log unit","4.3","Log unit","","-","OC(=O)Cc1c(c2ccc(Cl)cc2)nn(c2ccccc2)c1","","19","4.3097","Log unit","","-","","","","-","XVUQHFRQHBLHQD-UHFFFAOYSA"
"OC(=O)COC1=NC(Cl)=C(Cl)C=C1Cl","55335-06-3","R1509730","M9650","-","221","[(3,5,6-Trichloro-2-pyridinyl)oxy]acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","2.68","Log unit","2.68","Log unit","","-","OC(=O)COc1nc(Cl)c(Cl)cc1Cl","","4","2.2772","Log unit","","-","","","","-","REEQLXCGVXDJSQ-UHFFFAOYSA"
"OC(=O)CC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1CS2","55863-26-8","R1509731","M61798","-","222","(11-oxo-6,11-dihydrodibenzo[b,e]thiepin-2-yl)acetic acid/tiopinac","-","Koerner","Koerner","A8743","19630371","-","","3.71","Log unit","3.71","Log unit","","-","OC(=O)Cc1cc2SCc3c(C(=O)c2cc1)cccc3","","","","-","","-","","","","","KLIVRBFRQSOGQI-UHFFFAOYSA"
"CC(N(C(=O)C1=CC=CC=C1)C1=CC(Cl)=C(F)C=C1)C(O)=O","58667-63-3","R1509732","M13732","-","223","N-(3-chloro-4-fluorophenyl)-N-(phenylcarbonyl)alanine","-","Koerner","Koerner","A8743","19630371","-","-","3.72","Log unit","3.72","Log unit","","-","OC(=O)C(N(c1cc(Cl)c(F)cc1)C(=O)c1ccccc1)C","","3","3.5459","Log unit","","-","","","","-","YQVMVCCFZCMYQB-UHFFFAOYSA"
"C[C@H](OC1=CC=C(OC2=CC=C(C=N2)C(F)(F)F)C=C1)C(O)=O","69335-91-7","R1509733","M13839","-","224","2-[(4-{[5-(trifluoromethyl)-2-pyridinyl]oxy}phenyl)oxy]propanoic acid","-","Koerner","Koerner","A8743","19630371","-","-","3.12","Log unit","3.12","Log unit","","-","OC(=O)C(Oc1ccc(Oc2ncc(C(F)(F)F)cc2)cc1)C","","14","2.8836","Log unit","","-","","","","-","YUVKUEAFAVKILW-VIFPVBQESA"
"C[C@H](OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1)C(O)=O","69806-34-4","R1509734","M130910","-","225","2-[(4-{[3-chloro-5-(trifluoromethyl)-2-pyridinyl]oxy}phenyl)oxy]propanoic acid","-","Koerner","Koerner","A8743","19630371","-","-","2.9","Log unit","2.9","Log unit","","-","OC(=O)C(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C","","23","2.7766","Log unit","","-","","","","-","GOCUAJYOYBLQRH-QMMMGPOBSA"
"OC(=O)[C@@H]1CCN2C1=CC=C2C(=O)C1=CC=CC=C1","74103-06-3","R1509735","M8387","-","226","5-(phenylcarbonyl)-2,3-dihydro-1H-pyrrolo[1,2-a]pyrrole-1-carboxylic acid/ketorolac","-","Koerner","Koerner","A8743","19630371","-","-","3.49","Log unit","3.49","Log unit","","-","OC(=O)C1c2n(CC1)c(cc2)C(=O)c1ccccc1","","4","3.8352","Log unit","","-","","","","-","OZWKMVRBQXNZKK-LLVKDONJSA"
"OC(=O)COC1=CC(=C(Cl)C=C1)N(=O)=O","89894-13-3","R1509736","M46286","-","227","[(4-chloro-3-nitrophenyl)oxy]acetic acid","-","Koerner","Koerner","A8743","19630371","-","-","2.96","Log unit","2.96","Log unit","","-","OC(=O)COc1cc(N(=O)=O)c(Cl)cc1","","0","2.3812","Log unit","","-","","","","-","NNDWXLRSQALFKC-UHFFFAOYSA"
"OC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1","104273-73-6","R1509737","M46949","-","228","4-(cyclopropylcarbonyl)-3,5-dioxocyclohexanecarboxylic acid","-","Koerner","Koerner","A8743","19630371","-","","5.32","Log unit","5.32","Log unit","","-","OC(=C1C(=O)CC(CC1=O)C(=O)O)C1CC1","","","","-","","-","","","","","DFFWZNDCNBOKDI-KTKRTIGZSA"
"NC1=CC=C(N)C(O)=C1N","-","R2172809","M2608463","-","","-","-","Koerner","Koerner","A9412","-","-","","10.0","Log unit","10.0","Log unit","","-","Nc1ccc(N)c(O)c1N","","","","-","","-","","","","","ACHUKHFWGSAMMV-UHFFFAOYSA"
"OC(=O)C1=CC(Cl)=C(Cl)C=C1","51-44-5","R2182211","M17001","-","1","3,4-DICHLOROBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","3.64","Log unit","3.64","Log unit","25.0","?C","O=C(O)c1ccc(c(Cl)c1)Cl","benzoic acid (meta/para subs.)","","","-","","-","","","","-","VPHHJAOJUJHJKD-UHFFFAOYSA"
"OC(=O)C1=CC(Cl)=CC(Cl)=C1","51-36-5","R2182212","M16997","-","2","3,5-DICHLOROBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","3.54","Log unit","3.54","Log unit","22.0","?C","O=C(O)c1cc(cc(Cl)c1)Cl","benzoic acid (meta/para subs.)","","","-","","-","","","","-","CXKCZFDUOYMOOP-UHFFFAOYSA"
"CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O","57-66-9","R2182213","M1808","-","3","Probenecid","-","Koerner","Koerner","A3183","-","464","4","3.4","Log unit","3.4","Log unit","","-","O=C(O)c1ccc(S(=O)(=O)N(CCC)CCC)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","DBABZHXKTCFAPX-UHFFFAOYSA"
"OC(=O)C1=CC=C(C=C1)[N+]([O-])=O","62-23-7","R2182214","M8250","-","4","p-Nitrobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","3.44","Log unit","3.44","Log unit","","-","O=C(O)c1ccc([N+](=O)[O-])cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","OTLNPYWUJOZPPA-UHFFFAOYSA"
"OC(=O)C1=CC=CC=C1","65-85-0","R2182215","M12504","-","5","Benzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.19","Log unit","4.19","Log unit","25.0","?C","O=C(O)c1ccccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","WPYMKLBDIGXBTP-UHFFFAOYSA"
"OC(=O)C1=CC=C(Cl)C=C1","74-11-3","R2182216","M13178","-","6","4-Chlorobenzoic Acid","-","Koerner","Koerner","A3183","-","464","4","3.98","Log unit","3.98","Log unit","25.0","?C","O=C(O)c1ccc(Cl)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","XRHGYUZYPHTUJZ-UHFFFAOYSA"
"OC(=O)C1=CC2=C(C=CC=C2)C=C1","93-09-4","R2182217","M18051","-","7","2-NAPHTHOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.17","Log unit","4.17","Log unit","20.0","?C","O=C(O)c1cc2c(cc1)cccc2","benzoic acid (meta/para subs.)","","","-","","-","","","","-","UOBYKYZJUGYBDK-UHFFFAOYSA"
"COC1=C(OC)C=C(C=C1)C(O)=O","93-07-2","R2182218","M18050","-","8","3,4-DIMETHOXYBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.36","Log unit","4.36","Log unit","25.0","?C","O=C(O)c1ccc(c(OC)c1)OC","benzoic acid (meta/para subs.)","","","-","","-","","","","-","DAUAQNGYDSHRET-UHFFFAOYSA"
"CC(C)(C)C1=CC=C(C=C1)C(O)=O","98-73-7","R2182219","M18258","-","9","4-(TERT-BUTYL)-BENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.4","Log unit","4.4","Log unit","25.0","?C","O=C(O)c1ccc(cc1)C(C)(C)C","benzoic acid (meta/para subs.)","","","-","","-","","","","-","KDVYCTOWXSLNNI-UHFFFAOYSA"
"OC(=O)C1=CC=C(O)C=C1","99-96-7","R2182220","M2644","-","10","p-hydroxybenzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.54","Log unit","4.54","Log unit","","-","O=C(O)c1ccc(O)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","FJKROLUGYXJWQN-UHFFFAOYSA"
"CC1=CC=C(C=C1)C(O)=O","99-94-5","R2182221","M6364","-","11","p-toluic acid","-","Koerner","Koerner","A3183","-","464","4","4.37","Log unit","4.37","Log unit","25.0","?C","O=C(O)c1ccc(cc1)C","benzoic acid (meta/para subs.)","","","-","","-","","","","-","LPNBBFKOUUSUDB-UHFFFAOYSA"
"OC(=O)C1=CC(O)=C(O)C=C1","99-50-3","R2182222","M18287","-","12","3,4-DIHYDROXYBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.48","Log unit","4.48","Log unit","25.0","?C","O=C(O)c1ccc(c(O)c1)O","benzoic acid (meta/para subs.)","","","-","","-","","","","-","YQUVCSBJEUQKSH-UHFFFAOYSA"
"OC(=O)C1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O","99-34-3","R2182223","M18281","-","13","3,5-DINITROBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","2.82","Log unit","2.82","Log unit","25.0","?C","O=C(O)c1cc(cc([N+](=O)[O-])c1)[N+](=O)[O-]","benzoic acid (meta/para subs.)","","","-","","-","","","","-","VYWYYJYRVSBHJQ-UHFFFAOYSA"
"OC(=O)C1=CC(O)=CC(O)=C1","99-10-5","R2182224","M18271","-","14","3,5-DIHYDROXYBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.04","Log unit","4.04","Log unit","25.0","?C","O=C(O)c1cc(cc(O)c1)O","benzoic acid (meta/para subs.)","","","-","","-","","","","-","UYEMGAFJOZZIFP-UHFFFAOYSA"
"NC1=CC(=CC=C1)C(O)=O","99-05-8","R2182225","M12880","-","15","3-Aminobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.74","Log unit","4.74","Log unit","25.0","?C","O=C(O)c1cc(N)ccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","XFDUHJPVQKIXHO-UHFFFAOYSA"
"CC1=CC=CC(=C1)C(O)=O","99-04-7","R2182226","M3418","-","16","m-toluic acid","-","Koerner","Koerner","A3183","-","464","4","4.27","Log unit","4.27","Log unit","25.0","?C","O=C(O)c1cc(ccc1)C","benzoic acid (meta/para subs.)","","","-","","-","","","","-","GPSDUZXPYCFOSQ-UHFFFAOYSA"
"COC1=CC=C(C=C1)C(O)=O","100-09-4","R2182227","M14072","-","17","p-Methoxybenzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.47","Log unit","4.47","Log unit","25.0","?C","O=C(O)c1ccc(OC)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","ZEYHEAKUIGZSGI-UHFFFAOYSA"
"OC(=O)C1=CC=CC(=C1)[N+]([O-])=O","121-92-6","R2182228","M120","-","18","m-Nitrobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","3.46","Log unit","3.46","Log unit","25.0","?C","O=C(O)c1cc([N+](=O)[O-])ccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","AFPHTEQTJZKQAQ-UHFFFAOYSA"
"COC1=C(O)C=CC(=C1)C(O)=O","121-34-6","R2182229","M12372","-","19","4-HYDROXY-3-METHOXYBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.51","Log unit","4.51","Log unit","25.0","?C","O=C(O)c1ccc(c(OC)c1)O","benzoic acid (meta/para subs.)","","","-","","-","","","","-","WKOLLVMJNQIZCI-UHFFFAOYSA"
"OC(=O)C1=CC(O)=C(O)C(O)=C1","149-91-7","R2182230","M6312","-","20","3,4,5-Trihydroxybenzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.21","Log unit","4.21","Log unit","20.0","?C","O=C(O)c1cc(c(O)c(c1)O)O","benzoic acid (meta/para subs.)","","","-","","-","","","","-","LNTHITQWFMADLM-UHFFFAOYSA"
"NC1=CC=C(C=C1)C(O)=O","150-13-0","R2182231","M273","-","21","4-Aminobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.85","Log unit","4.85","Log unit","25.0","?C","O=C(O)c1ccc(N)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","ALYNCZNDIQEVRV-UHFFFAOYSA"
"OC(=O)C1=CC=CC(F)=C1","455-38-9","R2182232","M7098","-","22","m-Fluorobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","3.86","Log unit","3.86","Log unit","25.0","?C","O=C(O)c1cc(F)ccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","MXNBDFWNYRNIBH-UHFFFAOYSA"
"OC(=O)C1=CC=C(F)C=C1","456-22-4","R2182233","M659","-","23","p-Fluorobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.14","Log unit","4.14","Log unit","25.0","?C","O=C(O)c1ccc(F)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","BBYDXOIZLAWGSL-UHFFFAOYSA"
"OC(=O)C1=CC(=C(C=C1)[N+]([O-])=O)[N+]([O-])=O","528-45-0","R2182234","M21276","-","24","3,4-DINITROBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","2.82","Log unit","2.82","Log unit","25.0","?C","O=C(O)c1ccc(c([N+](=O)[O-])c1)[N+](=O)[O-]","benzoic acid (meta/para subs.)","","","-","","-","","","","-","OMVRRHJJQILIJX-UHFFFAOYSA"
"COC1=CC(=CC(OC)=C1O)C(O)=O","530-57-4","R2182235","M21316","-","25","4-OH-3,5-DIMETHOXYBENZIOC ACID","-","Koerner","Koerner","A3183","-","464","4","4.34","Log unit","4.34","Log unit","25.0","?C","O=C(O)c1cc(c(c(OC)c1)O)OC","benzoic acid (meta/para subs.)","","","-","","-","","","","-","JMSVCTWVEWCHDZ-UHFFFAOYSA"
"OC(=O)C1=CC=CC(Cl)=C1","535-80-8","R2182236","M6489","-","26","m-chlorobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","3.81","Log unit","3.81","Log unit","25.0","?C","O=C(O)c1cc(Cl)ccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","LULAYUGMBFYYEX-UHFFFAOYSA"
"CC(C)C1=CC=C(C=C1)C(O)=O","536-66-3","R2182237","M21401","-","27","CUMIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.35","Log unit","4.35","Log unit","25.0","?C","O=C(O)c1ccc(cc1)C(C)C","benzoic acid (meta/para subs.)","","","-","","-","","","","-","CKMXAIVXVKGGFM-UHFFFAOYSA"
"OC(=O)C1=CC=CC(Br)=C1","585-76-2","R2182238","M11849","-","28","m-Bromobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","3.81","Log unit","3.81","Log unit","20.0","?C","O=C(O)c1cc(Br)ccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","VOIZNVUXCQLQHS-UHFFFAOYSA"
"CC(=O)C1=CC=C(C=C1)C(O)=O","586-89-0","R2182239","M21971","-","29","P-ACETYLBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","3.7","Log unit","3.7","Log unit","25.0","?C","O=C(O)c1ccc(cc1)C(=O)C","benzoic acid (meta/para subs.)","","","-","","-","","","","-","QBHDSQZASIBAAI-UHFFFAOYSA"
"OC(=O)C1=CC=C(Br)C=C1","586-76-5","R2182240","M10796","-","30","P-BROMOBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.0","Log unit","4.0","Log unit","20.0","?C","O=C(O)c1ccc(Br)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","TUXYZHVUPGXXQG-UHFFFAOYSA"
"COC1=CC(=CC=C1)C(O)=O","586-38-9","R2182241","M12939","-","31","m-Methoxybenzoic acid","-","Koerner","Koerner","A3183","-","464","4","4.09","Log unit","4.09","Log unit","25.0","?C","O=C(O)c1cc(OC)ccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","XHQZJYCNDZAGLW-UHFFFAOYSA"
"OC(=O)C1=CC=CC(I)=C1","618-51-9","R2182242","M5883","-","32","3-Iodobenzoic Acid","-","Koerner","Koerner","A3183","-","464","4","3.85","Log unit","3.85","Log unit","25.0","?C","O=C(O)c1cc(I)ccc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","KVBWBCRPWVKFQT-UHFFFAOYSA"
"CCOC1=CC=C(C=C1)C(O)=O","619-86-3","R2182243","M22617","-","33","P-ETHOXYBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.45","Log unit","4.45","Log unit","20.0","?C","O=C(O)c1ccc(OCC)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","SHSGDXCJYVZFTP-UHFFFAOYSA"
"OC(=O)C1=CC=C(C=O)C=C1","619-66-9","R2182244","M22615","-","34","4-FORMYLBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","3.77","Log unit","3.77","Log unit","25.0","?C","O=C(O)c1ccc(cc1)C=O","benzoic acid (meta/para subs.)","","","-","","-","","","","-","GOUHYARYYWKXHS-UHFFFAOYSA"
"OC(=O)C1=CC=C(C=C1)C#N","619-65-8","R2182245","M60","-","35","p-Cyanobenzoic acid","-","Koerner","Koerner","A3183","-","464","4","3.55","Log unit","3.55","Log unit","20.0","?C","O=C(O)c1ccc(C#N)cc1","benzoic acid (meta/para subs.)","","","-","","-","","","","-","ADCUEPOHPCPMCE-UHFFFAOYSA"
"CCC1=CC=C(C=C1)C(O)=O","619-64-7","R2182246","M22614","-","36","4-ETHYLBENZOIC ACID","-","Koerner","Koerner","A3183","-","464","4","4.35","Log unit","4.35","Log unit","25.0","?C","O=C(O)c1ccc(cc1)CC","benzoic acid (meta/para subs.)","","","-","","-","","","","-","ZQVKTHRQIXSMGY-UHFFFAOYSA"
