Smiles,CASRN,Record ID,Molecule ID,External ID,N,Name,Introducer,Modifer,Article ID,PUBMED ID,PAGE,TABLE,pKa,pKa Unit,Temperature,Temperature Unit,Ionizable center smiles,IC group
COC1=CC(OC)=NC=N1,-,R1207292,M30028,-,-,"4,6-Dimethoxypyrimidine",Koerner,charochkina,A5793,-,-,-,1.2,Log unit,25,?C,n1cnc(OC)cc1OC,2
COC1=C(OC)N=C(C)N=C1,-,R1207293,M1158083,-,-,"4,5-dimethoxy-2-methylpyrimidine",Koerner,charochkina,A5793,-,-,-,4.11,Log unit,25,?C,n1cc(OC)c(OC)nc1C,2
CSC1=NC(C)=NC(C)=C1,-,R1207294,M1158084,-,-,"2,4-dimethyl-6-methylthiopyrimidine",Koerner,charochkina,A5793,-,-,-,4,Log unit,25,?C,n1c(nc(SC)cc1C)C,1
CSC1=NC(C)=CC(C)=N1,-,R1207295,M33157,-,-,"4,6-dimethyl-2-methylthiopyrimidine",Koerner,charochkina,A5793,-,-,-,2.12,Log unit,25,?C,n1c(SC)nc(cc1C)C,1
CC1=CC(=NC(C)=N1)S([O-])(=O)=O,-,R1207296,M1158085,-,-,"2,6-dimethyl-4-sulphopyrimidine",Koerner,charochkina,A5793,-,-,-,1.62,Log unit,25,?C,n1c(nc(S(=O)(=O)[O-])cc1C)C,1
CCOC1=NC=CC=N1,-,R1207298,M28642,-,-,2-ethoxypyrimidine,Koerner,charochkina,A5793,-,-,-,1.27,Log unit,25,?C,n1cccnc1OCC,2
CCOC(=O)C1=C(OCC)N=C(C)N=C1,-,R1207299,M1158086,-,-,4-ethoxy-5-ethoxycarbonyl-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,2.5,Log unit,25,?C,n1cc(c(OCC)nc1C)C(=O)OCC,2
CCOC1=NC=C(C)C=N1,-,R1207300,M1158087,-,-,2-ethoxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,1.75,Log unit,25,?C,n1cc(cnc1OCC)C,2
CCSC1=NC=CC=N1,-,R1207301,M1158088,-,-,2-ethylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,0.7,Log unit,25,?C,n1c(SCC)nccc1,2
CCSC1=NC=NC=C1,-,R1207302,M1158089,-,-,4-ethylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,2.6,Log unit,25,?C,n1cnc(SCC)cc1,1
COC1=CC(C)=NC(NN)=N1,-,R1207303,M1067331,-,-,2-hydrazino-4-methoxy-6-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,6.2,Log unit,25,?C,n1c(nc(OC)cc1C)NN,5
[O-]C1=NC=CC=N1,-,R1207304,M11958,-,-,2-Hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,9.2,Log unit,25,?C,[O-]c1ncccn1,n
[O-]c1nccc[n+]1,-,R1207305,M1158090,-,-,2-Hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,2.15,Log unit,25,?C,[O-]c1[n+]cccn1,n
[O-]C1=NC=NC=C1,-,R1207306,M2104,-,-,4-Hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,8.63,Log unit,25,?C,[O-]c1ncncc1,1
COC1=CN=CN=C1[O-],-,R1207309,M1158091,-,-,4-hydroxy-5-methoxypyrimdine,Koerner,charochkina,A5793,-,-,-,8.64,Log unit,25,?C,[O-]c1ncncc1OC,2
COC1=NC(C)=CC([O-])=N1,-,R1207310,M1106842,-,-,4-hydroxy-2-methoxy-6-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,8.5,Log unit,25,?C,[O-]c1nc(nc(c1)C)OC,n
CC1=NC([O-])=NC=C1,-,R1207311,M33502,-,-,2-hydroxy-4-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,9.9,Log unit,25,?C,[O-]c1nccc(n1)C,n
Cc1cc[n+]c([O-])n1,-,R1207312,M1158092,-,-,2-hydroxy-4-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,3.06,Log unit,25,?C,[O-]c1[n+]ccc(n1)C,n
CC1=CC([O-])=NC=N1,-,R1207313,M28324,-,-,4-Hydroxy-6-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,9.1,Log unit,25,?C,[O-]c1ncnc(c1)C,2
COC1=C(C(NN)=NC=N1)N(=O)=O,-,R1207315,M1158093,-,-,4-hydrazino-6-methoxy-5-nitropyrimidine,Koerner,charochkina,A5793,-,-,-,2.72,Log unit,25,?C,NNc1c(N(=O)=O)c(ncn1)OC,5
NNC1=NC=NC=C1N(=O)=O,-,R1207316,M1158094,-,-,4-hydrazino-5-nitropyrimidine,Koerner,charochkina,A5793,-,-,-,2.58,Log unit,25,?C,NNc1ncncc1N(=O)=O,6
CC1=CC(C)=NC([O-])=N1,-,R1207317,M65384,-,-,"2-Hydroxy-4,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,10,Log unit,25,?C,[O-]c1nc(cc(n1)C)C,n
Cc1cc(C)[n+]c([O-])n1,-,R1207318,M1158095,-,-,"2-Hydroxy-4,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,3.7,Log unit,25,?C,[O-]c1[n+]c(cc(n1)C)C,n
CC1=CC([O-])=NC(C)=N1,-,R1207319,M77661,-,-,"4-Hydroxy-2,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,9.82,Log unit,25,?C,[O-]c1nc(nc(c1)C)C,2
CC(C)C1=C([O-])N=CN=C1[S-],-,R1207320,M1158096,-,-,4-hydroxy-5-isopropyl-6-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,12.3,Log unit,25,?C,[O-]c1c(c([S-])ncn1)C(C)C,2
CC(C)c1c([O-])nc[n+]c1[S-],-,R1207321,M1158097,-,-,4-hydroxy-5-isopropyl-6-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,5.1,Log unit,25,?C,[S-]c1[n+]cnc(c1C(C)C)[O-],n
Oc1cc[n+]c([S-])[n+]1,-,R1207322,M1158098,-,-,4-Hydroxy-2-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,-4.14,Log unit,25,?C,Oc1[n+]c([S-])[n+]cc1,oh
Oc1cc[n+]c(S)[n+]1,-,R1207323,M1158099,-,-,4-Hydroxy-2-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,-6.64,Log unit,25,?C,Oc1[n+]c(S)[n+]cc1,sh
CC1=C([O-])N=CN=C1[S-],-,R1207324,M1158100,-,-,4-hydroxy-6-mercapto-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,11.75,Log unit,25,?C,[O-]c1c(c([S-])ncn1)C,2
Cc1c([O-])nc[n+]c1[S-],-,R1207325,M1158101,-,-,4-hydroxy-6-mercapto-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.97,Log unit,25,?C,[S-]c1[n+]cnc(c1C)[O-],n
CCCc1cc([O-])[n+]c(S)[n+]1,-,R1207326,M1158102,-,-,4-hydroxy-2-mercapto-6-n-propylpyrimidine,Koerner,charochkina,A5793,-,-,-,-6.54,Log unit,25,?C,[O-]c1[n+]c(S)[n+]c(c1)CCC,sh
CCCc1cc(O)[n+]c([S-])[n+]1,-,R1207327,M1158103,-,-,4-hydroxy-2-mercapto-6-n-propylpyrimidine,Koerner,charochkina,A5793,-,-,-,-4.22,Log unit,25,?C,Oc1[n+]c([S-])[n+]c(c1)CCC,oh
COC1=CC=C(C=C1)C1=CN=C([O-])N=C1,-,R1207328,M1106848,-,-,2-hydroxy-5-p-methoxyphenylpyrimidine,Koerner,charochkina,A5793,-,-,-,8.56,Log unit,25,?C,[O-]c1ncc(c2ccc(OC)cc2)cn1,n
COC1=CC=C(C=C1)c1cnc([O-])[n+]c1,-,R1207329,M1158104,-,-,2-hydroxy-5-p-methoxyphenylpyrimidine,Koerner,charochkina,A5793,-,-,-,2.21,Log unit,25,?C,[O-]c1[n+]cc(c2ccc(OC)cc2)cn1,n
CC1=CN=CN=C1[O-],-,R1207330,M1106850,-,-,4-hydroxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,8.87,Log unit,25,?C,[O-]c1ncncc1C,n
Cc1c[n+]cnc1[O-],-,R1207331,M1158105,-,-,4-hydroxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,2.59,Log unit,25,?C,[O-]c1nc[n+]cc1C,n
CSC1=NC=NC([O-])=C1C,-,R1207332,M1158106,-,-,4-hydroxy-5-methyl-6-methylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,9.17,Log unit,25,?C,[O-]c1c(c(SC)ncn1)C,1
CSC1=NC=NC([O-])=C1,-,R1207333,M1158107,-,-,4-hydroxy-6-methylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,8.47,Log unit,25,?C,[O-]c1cc(SC)ncn1,1
[O-]C1=NC=C(C=N1)C1=CC=C(C=C1)N(=O)=O,-,R1207334,M1106852,-,-,2-hydroxy-5-p-nitrophenylpyrimidine,Koerner,charochkina,A5793,-,-,-,7.87,Log unit,25,?C,[O-]c1ncc(cn1)c1ccc(N(=O)=O)cc1,n
[O-]c1ncc(c[n+]1)C1=CC=C(C=C1)N(=O)=O,-,R1207335,M1158108,-,-,2-hydroxy-5-p-nitrophenylpyrimidine,Koerner,charochkina,A5793,-,-,-,1.72,Log unit,25,?C,[O-]c1ncc(c[n+]1)c1ccc(N(=O)=O)cc1,n
CC1=CC=C(C=C1)C1=CN=C([O-])N=C1,-,R1207336,M1106854,-,-,2-hydroxy-5-p-tolylpyrimidine,Koerner,charochkina,A5793,-,-,-,8.44,Log unit,25,?C,[O-]c1ncc(c2ccc(cc2)C)cn1,n
CC1=CC=C(C=C1)c1cnc([O-])[n+]c1,-,R1207337,M1158109,-,-,2-hydroxy-5-p-tolylpyrimidine,Koerner,charochkina,A5793,-,-,-,2.26,Log unit,25,?C,[O-]c1[n+]cc(c2ccc(cc2)C)cn1,n
CC1=NC([O-])=NC(C)=C1C,-,R1207338,M1106856,-,-,"2-hydroxy-4,5,6-trimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,10.55,Log unit,25,?C,[O-]c1nc(C)c(C)c(n1)C,n
Cc1nc([O-])[n+]c(C)c1C,-,R1207339,M1158110,-,-,"2-hydroxy-4,5,6-trimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,4.51,Log unit,25,?C,[O-]c1[n+]c(C)c(C)c(n1)C,n
CC(C)(C)OC1=NC=CC=N1,-,R1207340,M1158111,-,-,2-isobutoxypyrimidine,Koerner,charochkina,A5793,-,-,-,1.07,Log unit,25,?C,N1CCCNC1OC(C)(C)C,2
CC(C)OC1=NC=CC=N1,-,R1207341,M1158112,-,-,2-isopropoxypyrimidine,Koerner,charochkina,A5793,-,-,-,1.38,Log unit,25,?C,N1CCCNC1OC(C)C,2
CC(C)OC1=CC=NC(C)=N1,-,R1207342,M1158113,-,-,4-isopropoxy-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.46,Log unit,25,?C,n1ccc(OC(C)C)nc1C,2
CC(C)SC1=NC=CC=N1,-,R1207343,M1158114,-,-,2-isopropylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,0.81,Log unit,25,?C,n1c(SC(C)C)nccc1,2
[S-]C1=NC=CC=N1,-,R1207344,M69517,-,-,2-Mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,6.9,Log unit,25,?C,[S-]c1ncccn1,n
Sc1[n+]ccc[n+]1,-,R1207345,M1158115,-,-,2-Mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,-8.3,Log unit,25,?C,c1[n+]c(S)[n+]cc1,sh
[S-]c1nccc[n+]1,-,R1207346,M1158116,-,-,2-Mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,1.325,Log unit,25,?C,[S-]c1[n+]cccn1,n
[S-]C1=NC=NC=C1,-,R1207347,M1158117,-,-,4-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,6.94,Log unit,25,?C,[S-]c1ncncc1,2
[S-]c1ccnc[n+]1,-,R1207348,M1158118,-,-,4-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,-0.75,Log unit,25,?C,n1c[n+]c([S-])cc1,n
Cc1cc(C)[n+]c([S-])n1,-,R1207349,M1158119,-,-,"2-Mercapto-4,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,2.8,Log unit,25,?C,[S-]c1[n+]c(cc(n1)C)C,n
CC1=CC(C)=NC([S-])=N1,-,R1207350,M35545,-,-,"2-Mercapto-4,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,8.2,Log unit,25,?C,[S-]c1nc(cc(n1)C)C,n
CC1=NC([S-])=NC=C1,-,R1207351,M592358,-,-,2-mercapto-4-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,8.1,Log unit,25,?C,[S-]c1nccc(n1)C,2
Cc1cc[n+]c([S-])n1,-,R1207352,M1158120,-,-,2-mercapto-4-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,2.1,Log unit,25,?C,[S-]c1[n+]ccc(n1)C,n
CC1=CC([S-])=NC(C)=N1,-,R1207353,M1158121,-,-,"4-mercapto-2,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,8.2,Log unit,25,?C,[S-]c1nc(nc(c1)C)C,2
COc1cc(S)[n+]cn1,-,R1207354,M1158122,-,-,4-mercapto-6-methoxypyrimidine,Koerner,charochkina,A5793,-,-,-,-1.98,Log unit,25,?C,O(c1cc(S)[n+]cn1)C,sh
COC1=CC([S-])=NC=N1,-,R1207355,M1158123,-,-,4-mercapto-6-methoxypyrimidine,Koerner,charochkina,A5793,-,-,-,7.51,Log unit,25,?C,[S-]c1ncnc(c1)OC,2
COc1nc[n+]c(S)c1C,-,R1207356,M1158124,-,-,4-mercapto-6-methoxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,-1.59,Log unit,25,?C,O(c1c(c(S)[n+]cn1)C)C,sh
COC1=C(C)C([S-])=NC=N1,-,R1207357,M1158125,-,-,4-mercapto-6-methoxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,7.9,Log unit,25,?C,[S-]c1ncnc(c1C)OC,2
CC1=CC([S-])=NC=N1,-,R1207358,M1158126,-,-,4-mercapto-6-methyl,Koerner,charochkina,A5793,-,-,-,7.3,Log unit,25,?C,[S-]c1ncnc(c1)C,2
COC1=NC=NC=C1,-,R1207360,M30895,-,-,4-methoxypyrimidine,Koerner,charochkina,A5793,-,-,-,2.5,Log unit,25,?C,n1cnc(OC)cc1,2
COC(=O)C1=NC=CC=N1,-,R1207361,M38091,-,-,2-methoxycarbonylpyrimidine,Koerner,charochkina,A5793,-,-,-,-0.68,Log unit,25,?C,n1cccnc1C(=O)OC,2
COC1=NC(C)=CC(C)=N1,-,R1207362,M1158127,-,-,"2-methoxy-4,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,2.7,Log unit,25,?C,N1C(CC(C)NC1OC)C,2
COC1=NC(C)=NC(C)=C1,-,R1207363,M1158128,-,-,"4-methoxy-2,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,4.71,Log unit,25,?C,n1c(nc(OC)cc1C)C,2
COC1=CC=C(C=C1)C1=CN=C(OC)N=C1,-,R1207364,M1158129,-,-,2-methoxy-5-p-methoxyphenylpyrimidine,Koerner,charochkina,A5793,-,-,-,0.78,Log unit,25,?C,n1cc(c2ccc(cc2)OC)cnc1OC,2
COC1=NC(C)=CC=N1,-,R1207365,M1158130,-,-,2-methoxy-4-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,2,Log unit,25,?C,n1ccc(C)nc1OC,2
COC1=CC(C)=NC=N1,-,R1207366,M1158131,-,-,4-methoxy-6-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,3.56,Log unit,25,?C,n1cnc(OC)cc1C,1
COC1=NC=C(C)C=N1,-,R1207367,M1158132,-,-,2-methoxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,1.37,Log unit,25,?C,N1CC(CNC1OC)C,2
COC1=CC=NC(C)=N1,-,R1207368,M1158133,-,-,4-methoxy-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,3.98,Log unit,25,?C,N1CCC(OC)NC1C,2
COC1=NC=NC=C1C,-,R1207369,M1158134,-,-,4-methoxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,3.57,Log unit,25,?C,N1CNC(OC)C(C1)C,2
COC1=NC=NC=C1C1=CC=C(C=C1)N(=O)=O,-,R1207370,M1158135,-,-,4-methoxy-5-nitrophenylpyrimidine,Koerner,charochkina,A5793,-,-,-,2.4,Log unit,25,?C,n1cc(c2ccc(N(=O)=O)cc2)c(OC)nc1,2
COC1=NC=C(C=N1)C1=CC=CC=C1,-,R1207371,M1158136,-,-,2-methoxy-5-phenylpyrimidine,Koerner,charochkina,A5793,-,-,-,0.79,Log unit,25,?C,n1cc(c2ccccc2)cnc1OC,2
COC1=NC=NC=C1C1=CC=CC=C1,-,R1207372,M1158137,-,-,4-methoxy-5-phenylpyrimidine,Koerner,charochkina,A5793,-,-,-,2.94,Log unit,25,?C,n1cc(c2ccccc2)c(nc1)OC,2
COC1=CC=C(C=C1)C1=CN=C(SC)N=C1,-,R1207373,M1158138,-,-,5-p-methoxyphenyl-2-methylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,0.52,Log unit,25,?C,n1c(SC)ncc(c1)c1ccc(OC)cc1,2
COC1=NC=C(C=N1)C1=CC=C(C)C=C1,-,R1207374,M1158139,-,-,2-methoxy-5-p-tolylpyrimidine,Koerner,charochkina,A5793,-,-,-,0.77,Log unit,25,?C,n1cc(cnc1OC)c1ccc(C)cc1,2
COC1=CC(SC)=NC=N1,-,R1207375,M1158140,-,-,4-methoxy-6-methylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,1.62,Log unit,25,?C,n1c(SC)cc(nc1)OC,2
CC1=NC=NC=C1,-,R1207376,M28239,-,-,4-METHYLPYRIMIDINE,Koerner,charochkina,A5793,-,-,-,1.905,Log unit,25,?C,n1cnc(C)cc1,1
CSC1=NC=CC(C)=N1,-,R1207377,M108930,-,-,4-methyl-2-methylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,1.86,Log unit,25,?C,n1c(SC)nc(cc1)C,1
CSC1=NC=NC(C)=C1,-,R1207378,M1158141,-,-,4-methyl-6-methylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,3.16,Log unit,25,?C,n1cnc(SC)cc1C,1
CC1=NC(OC2=CC=CC=C2)=CC=N1,-,R1207379,M1158142,-,-,2-methyl-4-phenoxypyrimidine,Koerner,charochkina,A5793,-,-,-,3.17,Log unit,25,?C,n1ccc(Oc2ccccc2)nc1C,2
CSC1=NC=NC=C1,-,R1207381,M1158143,-,-,4-methylthiopyrimidine,Koerner,charochkina,A5793,-,-,-,2.41,Log unit,25,?C,n1cnc(SC)cc1,1
NC1=NC(N)=C(N)C=N1,-,R1207385,M1158144,-,-,"2,4,5-triaminopyrimidine",Koerner,charochkina,A5793,-,-,-,7.6,Log unit,25,?C,n1cc(N)c(N)nc1N,8
NC1=NC(N)=C(CC2=CC=CC=C2)C(N)=N1,-,R1207387,M1158145,-,-,"2,4,6-triamino-5-benzylpyrimidine",Koerner,charochkina,A5793,-,-,-,6.55,Log unit,25,?C,n1c(c(Cc2ccccc2)c(nc1N)N)N,7
NC1=NC(N)=C(Br)C(N)=N1,-,R1207388,M1158146,-,-,"2,4,6-triamino-5-bromopyrimidine",Koerner,charochkina,A5793,-,-,-,5.17,Log unit,25,?C,n1c(c(Br)c(nc1N)N)N,7
NC1=NC(N)=C(Cl)C(N)=N1,-,R1207389,M1158147,-,-,"2,4,6-triamino-5-chloropyrimidine",Koerner,charochkina,A5793,-,-,-,5.15,Log unit,25,?C,n1c(c(Cl)c(nc1N)N)N,7
CCC1=C(N)N=C(N)N=C1N,-,R1207390,M64470,-,-,"2,4,6-triamino-5-ethylpyrimidine",Koerner,charochkina,A5793,-,-,-,6.84,Log unit,25,?C,n1c(nc(N)c(c1N)CC)N,7
NC1=NC(N)=C(C=O)C(N)=N1,-,R1207391,M1158148,-,-,"2,4,6-triamino-5-formylpyrimidine",Koerner,charochkina,A5793,-,-,-,5.27,Log unit,25,?C,n1c(nc(N)c(c1N)C=O)N,7
NC1=NC(N)=C(C(N)=N1)N(=O)=O,-,R1207392,M987069,-,-,"2,4,6-TRIAMINO-5-NITROPYRIMIDINE",Koerner,charochkina,A5793,-,-,-,3.22,Log unit,25,?C,n1c(nc(N)c(c1N)N(=O)=O)N,7
NC1=NC=C(C=N1)C1=CC=C(Br)C=C1,-,R1207167,M1158012,-,-,2-amino-5-(4-bromophenyl)pyrimidine,Koerner,charochkina,A5793,-,-,-,3.06,Log unit,25,?C,n1cc(c2ccc(Br)cc2)cnc1N,4
CC(C)(C)C1=CC=NC(N)=N1,-,R1207168,M1158013,-,-,2-amino-4-t-butylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.58,Log unit,25,?C,n1ccc(C(C)(C)C)nc1N,4
NC(=O)C1=CN=CN=C1N,-,R1207170,M1158014,-,-,4-amino-5-carbamoylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.13,Log unit,25,?C,n1cnc(N)c(c1)C(=O)N,6
CC1=NC(N)=C(C=N1)C(N)=O,-,R1207173,M1158015,-,-,4-amino-5-carbamoyl-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.97,Log unit,25,?C,n1cc(c(N)nc1C)C(=O)N,6
NC1=NC=C(Cl)C=N1,-,R1207174,M75444,-,-,2-Amino-5-chloropyrimidine,Koerner,charochkina,A5793,-,-,-,1.73,Log unit,25,?C,n1cc(Cl)cnc1N,4
NC1=CC(Cl)=NC=N1,-,R1207175,M1106825,-,-,4-amino-6-chloropyrimidine,Koerner,charochkina,A5793,-,-,-,2.1,Log unit,25,?C,n1cnc(Cl)cc1N,n
NC1=NC=C(Cl)C([O-])=N1,-,R1207176,M1158016,-,-,2-amino-5-chloro-4-hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,7.97,Log unit,25,?C,[O-]c1nc(ncc1Cl)N,3
NC1=NC([O-])=CC(Cl)=N1,-,R1207177,M24869,-,-,2-amino-6-chloro-4-hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,8.06,Log unit,25,?C,[O-]c1cc(Cl)nc(n1)N,3
NC1=NC([O-])=NC=C1Cl,-,R1207178,M1158017,-,-,4-amino-5-chloro-2-hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,10.36,Log unit,25,?C,[O-]c1ncc(c(n1)N)Cl,4
NC1=CC(Cl)=NC([O-])=N1,-,R1207179,M1158018,-,-,4-amino-6-chloro-2-hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,8.59,Log unit,25,?C,[O-]c1nc(Cl)cc(n1)N,3
NC1=NC=C(C=N1)C1=CC=C(Cl)C=C1,-,R1207180,M1158019,-,-,2-amino-5-(4-chlorophenyl)pyrimidine,Koerner,charochkina,A5793,-,-,-,3.14,Log unit,25,?C,n1cc(c2ccc(Cl)cc2)cnc1N,4
NC1=NC=C(C=N1)C#N,-,R1207181,M1158020,-,-,2-amino-5-cyanopyrimidine,Koerner,charochkina,A5793,-,-,-,0.66,Log unit,25,?C,n1cc(cnc1N)C#N,4
NC1=NC=NC=C1C#N,-,R1207182,M1158021,-,-,4-amino-5-cyanopyrimidine,Koerner,charochkina,A5793,-,-,-,2.49,Log unit,25,?C,n1cnc(N)c(c1)C#N,4
CC1=NC(N)=NC(C)=C1C#N,-,R1207183,M1158022,-,-,"2-amino-5-cyano-4,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,1.67,Log unit,25,?C,n1c(c(C#N)c(nc1N)C)C,4
CC1=C(C=NC(N)=N1)C#N,-,R1207184,M1158023,-,-,2-amino-5-cyano-4-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,1.14,Log unit,25,?C,n1cc(c(C)nc1N)C#N,4
CC1=NC(N)=C(C=N1)C#N,-,R1207185,M61403,-,-,4-Amino-5-cyano-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,3.51,Log unit,25,?C,n1cc(c(N)nc1C)C#N,4
COC1=CC(N)=NC(OC)=N1,-,R1207186,M72667,-,-,"4-Amino-2,6-dimethoxypyrimidine",Koerner,charochkina,A5793,-,-,-,3.22,Log unit,25,?C,n1c(cc(OC)nc1OC)N,4
CC1=NC(C)=NC(N)=C1,-,R1207187,M810,-,-,"4-Amino-2,6-dimethylpyrimidine",Koerner,charochkina,A5793,-,-,-,6.935,Log unit,25,?C,n1c(nc(cc1C)N)C,3
NC1=NC=CC([O-])=N1,-,R1207189,M13152,-,-,2-Amino-4-hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,9.54,Log unit,25,?C,[O-]c1nc(ncc1)N,4
NC1=CC([O-])=NC=N1,-,R1207190,M68897,-,-,4-Amino-6-hydroxypyrimidine,Koerner,charochkina,A5793,-,-,-,10.1,Log unit,25,?C,[O-]c1ncnc(c1)N,4
CC1=CN=C([O-])N=C1N,-,R1207191,M6419,-,-,4-Amino-2-hydroxy-5-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,12.4,Log unit,25,?C,[O-]c1ncc(C)c(n1)N,4
CCOC(=O)C1=C(N)N=C(C)N=C1,-,R1207198,M1158024,-,-,4-amino-5-ethoxycarbonyl-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.53,Log unit,25,?C,n1cc(c(N)nc1C)C(=O)OCC,4
NC1=NC=C(C=N1)C1=CC=C(F)C=C1,-,R1207199,M1158025,-,-,2-amino-5-(4-fluorophenyl)pyrimidine,Koerner,charochkina,A5793,-,-,-,3.25,Log unit,25,?C,n1cc(c2ccc(F)cc2)cnc1N,4
CC1=NC=C(C=O)C(N)=N1,-,R1207200,M1158026,-,-,4-amino-5-formyl-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.46,Log unit,25,?C,n1cc(C=O)c(nc1C)N,4
CC1=NC(N)=C(C(NN)=N1)N(=O)=O,-,R1207201,M1158027,-,-,4-amino-6-hydrazino-2-methyl-5-nitropyrimidine,Koerner,charochkina,A5793,-,-,-,4.03,Log unit,25,?C,n1c(c(N(=O)=O)c(nc1C)N)NN,7
NNC1=NC=NC(N)=C1N(=O)=O,-,R1207202,M1158028,-,-,4-amino-6-hydrazino-5-nitropyrimidine,Koerner,charochkina,A5793,-,-,-,3.65,Log unit,25,?C,n1c(c(N(=O)=O)c(nc1)NN)N,7
NC1=NC=CC([S-])=N1,-,R1207204,M1158029,-,-,2-amino-4-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,8.05,Log unit,25,?C,[S-]c1nc(ncc1)N,4
NC1=NC([S-])=NC=C1,-,R1207205,M20058,-,-,4-amino-2-mercaptopyrimidine,Koerner,charochkina,A5793,-,-,-,10.66,Log unit,25,?C,[S-]c1nccc(n1)N,4
COC1=NC(N)=CC=N1,-,R1207206,M1158030,-,-,4-amino-2-methoxypyrimidine,Koerner,charochkina,A5793,-,-,-,5.3,Log unit,25,?C,n1ccc(N)nc1OC,4
COC1=CC=NC(N)=N1,-,R1207207,M19740,-,-,2-Amino-4-methoxypyrimidine,Koerner,charochkina,A5793,-,-,-,5.51,Log unit,25,?C,n1ccc(OC)nc1N,4
COC1=NC=NC=C1N,-,R1207208,M1158031,-,-,5-amino-4-methoxypyrimidine,Koerner,charochkina,A5793,-,-,-,4.22,Log unit,25,?C,n1cnc(OC)c(c1)N,4
COC1=NC(C)=NC(N)=C1,-,R1207209,M1158032,-,-,4-amino-6-methoxy-2-methylpyrimidine,Koerner,charochkina,A5793,-,-,-,4.42,Log unit,25,?C,n1c(nc(N)cc1OC)C,3
