"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Temperature","UNIT {Temperature}","Ionizable centre (smiles)","groupsAndICs","AtomNR of IC","IC group given","IC smiles given","MultiGroupDetection","IC group detected","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","COMMENTS","INCHI_KEY"
"CC1=CC(Br)=C(O)C(=O)C=C1","-","R936843","M1034253","-","-","5-methyl-3-bromo-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","6.41","Log unit","6.41","Log unit","25.0","?C","Oc1c(=O)ccc(cc1Br)C","{oh=3}","","","","","","","-","","","-","-","ZZHNPXVZXGCBML-UHFFFAOYSA"
"CC1=CC(=O)C(O)=C(Br)C=C1","-","R936844","M1034254","-","-","6-methyl-3-bromo-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","6.3","Log unit","6.3","Log unit","25.0","?C","Oc1c(=O)cc(ccc1Br)C","{oh=3}","","","","","","","-","","","-","-","HSOZZQHGFCKHFW-UHFFFAOYSA"
"CC1=CC(=O)C(O)=CC=C1Br","-","R936845","M1034255","-","-","3-methyl-4-bromo-7-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","6.6","Log unit","6.6","Log unit","25.0","?C","Oc1ccc(c(cc1=O)C)Br","{oh=10}","","","","","","","-","","","-","-","ZCVQFZQHEBDHTQ-UHFFFAOYSA"
"CC1=C(Br)C(=O)C(O)=C(Br)C=C1","-","R936846","M1034256","-","-","3-methyl-2,6-dibromo-7-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","5.59","Log unit","5.59","Log unit","25.0","?C","Oc1c(ccc(c(c1=O)Br)C)Br","{oh=11}","","","","","","","-","","","-","-","BJAHMRIXIKMVEL-UHFFFAOYSA"
"CC1=CC(Br)=C(O)C(=O)C(Br)=C1","-","R936847","M1034257","-","-","4-methyl-2,6-dibromo-7-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","5.59","Log unit","5.59","Log unit","25.0","?C","Oc1c(cc(cc(c1=O)Br)C)Br","{oh=11}","","","","","","","-","","","-","-","DHHDNQXLJYJVLL-UHFFFAOYSA"
"OC1=C(Br)C=C(Br)C=CC1=O","-","R936848","M29564","-","-","3,5-dibromo-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","5.18","Log unit","5.18","Log unit","25.0","?C","Oc1c(=O)ccc(cc1Br)Br","{oh=3}","","","","","","","-","","","-","-","ZRYCFUMALBOKMC-UHFFFAOYSA"
"OC1=C(Br)C=CC=C(Br)C1=O","-","R936849","M29565","-","-","3,7-dibromo-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","4.68","Log unit","4.68","Log unit","25.0","?C","Oc1c(=O)c(cccc1Br)Br","{oh=3}","","","","","","","-","","","-","-","RSXVFMVFPPBRGL-UHFFFAOYSA"
"OC1=C(Br)C=CC=C(Br)C1=O","-","R936850","M29565","-","-","3,5,7-tribromo-2-hydroxy-2,4,6-cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","4.27","Log unit","4.27","Log unit","25.0","?C","Oc1c(=O)c(cccc1Br)Br","{oh=3}","","","","","","","-","","","-","-","RSXVFMVFPPBRGL-UHFFFAOYSA"
"CC1=C(Br)C(=O)C(O)=C(Br)C=C1","-","R936851","M1034256","-","-","6-methyl-3,5,7-tribromo-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","5.17","Log unit","5.17","Log unit","25.0","?C","Oc1c(=O)c(c(ccc1Br)C)Br","{oh=3}","","","","","","","-","","","-","-","BJAHMRIXIKMVEL-UHFFFAOYSA"
"COC1=C(O)C(=O)C=CC=C1","-","R936852","M1034258","-","-","3-methoxy-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","8.0","Log unit","8.0","Log unit","25.0","?C","Oc1c(=O)ccccc1OC","{oh=3}","","","","","","","-","","","-","-","MSUIQNOEASGXHI-UHFFFAOYSA"
"COC1=CC=C(O)C(=O)C=C1","-","R936853","M1034259","-","-","5-methoxy-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","7.75","Log unit","7.75","Log unit","25.0","?C","Oc1c(=O)ccc(cc1)OC","{oh=3}","","","","","","","-","","","-","-","SUQQIBNIHQSJII-UHFFFAOYSA"
"CC1=C(O)C(=O)C=CC=C1","-","R936854","M1034260","-","-","3-methyl-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","7.92","Log unit","7.92","Log unit","25.0","?C","Oc1c(=O)ccccc1C","{oh=3}","","","","","","","-","","","-","-","WQCFNSJTIWJUMV-UHFFFAOYSA"
"CC1=CC=CC(=O)C(O)=C1","-","R936855","M21934","-","-","4-methyl-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","7.26","Log unit","7.26","Log unit","25.0","?C","Oc1c(=O)cccc(c1)C","{oh=3}","","","","","","","-","","","-","-","OTXSBWFUHZIFLR-UHFFFAOYSA"
"CC1=CC=C(O)C(=O)C=C1","-","R936856","M1006807","-","-","5-methyl-2-hydroxy-2,4,6-Cycloheptatrien-1-one","-","Koerner","charochkina","A5793","-","-","-","7.32","Log unit","7.32","Log unit","25.0","?C","Oc1c(=O)ccc(cc1)C","{oh=3}","","","","","","","-","","","-","-","FQOCWKSOAXYSQY-UHFFFAOYSA"
"COC1=C(C)C=C(O)C=C1","-","R936657","M1050460","-","-","4-methoxy-3-methyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.31","Log unit","10.31","Log unit","25.0","?C","Oc1ccc(c(C)c1)OC","{oh=8}","","","","","","","-","","","-","-","ILASIIGKRFKNQC-UHFFFAOYSA"
"COC1=CC(C=O)=CC=C1O","-","R936658","M7075","-","-","Vanillin","-","Koerner","charochkina","A5793","-","-","-","7.396","Log unit","7.396","Log unit","25.0","?C","Oc1ccc(C=O)cc1OC","{oh=0}","","","","","","","-","","","-","-","MWOOGOJBHIARFG-UHFFFAOYSA"
"COC1=C(O)C(C=O)=CC=C1","-","R936659","M5060","-","-","o-Vanillin","-","Koerner","charochkina","A5793","-","-","-","7.912","Log unit","7.912","Log unit","25.0","?C","Oc1c(cccc1C=O)OC","{oh=6}","","","","","","","-","","","-","-","JJVNINGBHGBWJH-UHFFFAOYSA"
"COC1=CC=C(C=O)C=C1O","-","R936660","M5307","-","-","Isovanillin","-","Koerner","charochkina","A5793","-","-","-","8.889","Log unit","8.889","Log unit","25.0","?C","Oc1cc(ccc1OC)C=O","{oh=0}","","","","","","","-","","","-","-","JVTZFYYHCGSXJV-UHFFFAOYSA"
"CC(=O)C1=CC=CC(O)=C1","-","R936661","M6485","-","-","m-Hydroxyacetophenone","-","Koerner","charochkina","A5793","-","-","-","9.19","Log unit","9.19","Log unit","25.0","?C","Oc1cccc(c1)C(=O)C","{oh=3}","","","","","","","-","","","-","-","LUJMEECXHPYQOF-UHFFFAOYSA"
"COC1=CC(OC)=CC(O)=C1","-","R936662","M13153","-","-","3,5-dimethoxy-phenol","-","Koerner","charochkina","A5793","-","-","-","9.34","Log unit","9.34","Log unit","25.0","?C","Oc1cc(cc(c1)OC)OC","{oh=0}","","","","","","","-","","","-","-","XQDNFAMOIPNVES-UHFFFAOYSA"
"CC1=CC(O)=C(Cl)C(C)=C1Cl","-","R936663","M19410","-","-","2,4-dichloro-3,5-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","8.28","Log unit","8.28","Log unit","25.0","?C","Oc1c(Cl)c(c(c(c1)C)Cl)C","{oh=3}","","","","","","","-","","","-","-","IYOLBFFHPZOQGW-UHFFFAOYSA"
"CC1=C(O)C(Cl)=C(C)C(Cl)=C1","-","R936664","M1050461","-","-","2,4-dichloro-3,6-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","8.37","Log unit","8.37","Log unit","25.0","?C","Oc1c(cc(Cl)c(c1Cl)C)C","{oh=5}","","","","","","","-","","","-","-","WEJXBXDLLWHUNT-UHFFFAOYSA"
"CC1=C(Cl)C=C(Cl)C(O)=C1C","-","R936665","M1050462","-","-","2,4-dichloro-5,6-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","8.45","Log unit","8.45","Log unit","25.0","?C","Oc1c(Cl)cc(Cl)c(C)c1C","{oh=8}","","","","","","","-","","","-","-","UJKOQSMRLSLDHO-UHFFFAOYSA"
"CC1=C(C)C(Cl)=C(O)C(Cl)=C1","-","R936666","M1050463","-","-","2,6-dichloro-3,4-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","7.59","Log unit","7.59","Log unit","25.0","?C","Oc1c(Cl)cc(c(C)c1Cl)C","{oh=8}","","","","","","","-","","","-","-","JVCZMDITVDZGTA-UHFFFAOYSA"
"CC1=C(C)C=C(Cl)C(O)=C1","-","R936667","M8783","-","-","2-chloro-4,5-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","8.89","Log unit","8.89","Log unit","25.0","?C","Oc1c(Cl)cc(c(C)c1)C","{oh=8}","","","","","","","-","","","-","-","PSOJLBXHRBFLLQ-UHFFFAOYSA"
"CC1=C(C)C(Cl)=CC=C1O","-","R936668","M69239","-","-","4-chloro-2,3-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","9.91","Log unit","9.91","Log unit","25.0","?C","Oc1ccc(Cl)c(c1C)C","{oh=5}","","","","","","","-","","","-","-","CFCVHJRJEWDVOG-UHFFFAOYSA"
"CC1=CC(O)=C(C)C=C1Cl","-","R936669","M68713","-","-","4-chloro-2,5-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","9.89","Log unit","9.89","Log unit","25.0","?C","Oc1c(cc(Cl)c(c1)C)C","{oh=5}","","","","","","","-","","","-","-","MMRJLQJSFOSVAM-UHFFFAOYSA"
"CC1=CC(O)=CC(C)=C1Cl","-","R936670","M8220","-","-","4-chloro-3,5-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","9.702","Log unit","9.702","Log unit","25.0","?C","Oc1cc(c(Cl)c(c1)C)C","{oh=5}","","","","","","","-","","","-","-","OSDLLIBGSJNGJE-UHFFFAOYSA"
"CC1=CC(Br)=CC(C)=C1O","-","R936671","M14202","-","-","4-bromo-2,6-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","9.81","Log unit","9.81","Log unit","25.0","?C","Oc1c(cc(Br)cc1C)C","{oh=5}","","","","","","","-","","","-","-","ZLVFYUORUHNMBO-UHFFFAOYSA"
"CC1=CC(F)=CC(C)=C1O","-","R936672","M1050464","-","-","4-fluoro-2,6-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.46","Log unit","10.46","Log unit","25.0","?C","Oc1c(cc(F)cc1C)C","{oh=5}","","","","","","","-","","","-","-","GNRDTVFZITZMFR-UHFFFAOYSA"
"OC(C1=CC(Br)=CC=C1)C(F)(F)F","-","R936673","M1050465","-","-","1-(3-bromophenyl)-2,2,2-trifluoro-ethanol","-","Koerner","charochkina","A5793","-","-","-","11.5","Log unit","11.5","Log unit","25.0","?C","OC(c1cc(Br)ccc1)C(F)(F)F","{oh=8}","","","","","","","-","","","-","-","YJAXYKDDEAMXAW-UHFFFAOYSA"
"OC(C1=CC=CC(=C1)N(=O)=O)C(F)(F)F","-","R936674","M1050466","-","-","2,2,2-trifluoro-1-(3-nitrophenyl)-ethanol","-","Koerner","charochkina","A5793","-","-","-","11.23","Log unit","11.23","Log unit","25.0","?C","OC(c1cccc(c1)N(=O)=O)C(F)(F)F","{oh=10}","","","","","","","-","","","-","-","BCYCXBDVLORUCU-UHFFFAOYSA"
"COC(=O)C1=CC(=C(O)C=C1)N(=O)=O","-","R936675","M65251","-","-","4-hydroxy-3-methoxybenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","5.4","Log unit","5.4","Log unit","25.0","?C","Oc1c(cc(C(=O)OC)cc1)N(=O)=O","{oh=11}","","","","","","","-","","","-","-","GNCWCTBHZCBXGL-UHFFFAOYSA"
"CC(C)C1=CC=CC=C1O","-","R936676","M1577","-","-","2-isopropyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.325","Log unit","10.325","Log unit","25.0","?C","Oc1ccccc1C(C)C","{oh=9}","","","","","","","-","","","-","-","CRBJBYGJVIBWIY-UHFFFAOYSA"
"CC(C)C1=CC=CC(O)=C1","-","R936677","M11780","-","-","3-isopropyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.16","Log unit","10.16","Log unit","25.0","?C","Oc1cccc(c1)C(C)C","{oh=3}","","","","","","","-","","","-","-","VLJSLTNSFSOYQR-UHFFFAOYSA"
"CC(C)C1=CC=C(O)C=C1","-","R936678","M13731","-","-","4-Isopropyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.25","Log unit","10.25","Log unit","25.0","?C","Oc1ccc(C(C)C)cc1","{oh=0}","","","","","","","-","","","-","-","YQUQWHNMBPIWGK-UHFFFAOYSA"
"CCCC1=CC=CC=C1O","-","R936679","M6063","-","-","2-propyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.525","Log unit","10.525","Log unit","25.0","?C","Oc1ccccc1CCC","{oh=9}","","","","","","","-","","","-","-","LCHYEKKJCUJAKN-UHFFFAOYSA"
"CC1=CC(C)=C(C)C(O)=C1","-","R936680","M7904","-","-","2,3,5-trimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.69","Log unit","10.69","Log unit","25.0","?C","Oc1cc(cc(c1C)C)C","{oh=0}","","","","","","","-","","","-","-","OGRAOKJKVGDSFR-UHFFFAOYSA"
"CC1=CC(C)=C(C)C=C1O","-","R936681","M20900","-","-","2,4,5-trimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.57","Log unit","10.57","Log unit","25.0","?C","Oc1cc(c(C)cc1C)C","{oh=0}","","","","","","","-","","","-","-","VXSCPERJHPWROZ-UHFFFAOYSA"
"COC1=CC(C)=C(O)C(C)=C1","-","R936682","M69326","-","-","4-methoxy-2,6-dimethyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.84","Log unit","10.84","Log unit","25.0","?C","Oc1c(cc(OC)cc1C)C","{oh=0}","","","","","","","-","","","-","-","UCHRDYUBDZOFBJ-UHFFFAOYSA"
"CC1=CC(=C(O)C(=C1)N(=O)=O)N(=O)=O","-","R936683","M3977","-","-","4-methyl-2,6-dinitro-phenol","-","Koerner","charochkina","A5793","-","-","-","4.231","Log unit","4.231","Log unit","25.0","?C","Oc1c(cc(C)cc1N(=O)=O)N(=O)=O","{oh=0}","","","","","","","-","","","-","-","HOYRZHJJAHRMLL-UHFFFAOYSA"
"OC1=CC(C=O)=CC=C1","-","R936684","M4261","-","-","3-HYDROXY-BENZALDEHYDE","-","Koerner","charochkina","A5793","-","-","-","8.985","Log unit","8.985","Log unit","25.0","?C","Oc1cccc(c1)C=O","{oh=3}","","","","","","","-","","","-","-","IAVREABSGIHHMO-UHFFFAOYSA"
"OC1=CC=C(C=O)C=C1","-","R936685","M9708","-","-","4-HYDROXY-BENZALDEHYDE","-","Koerner","charochkina","A5793","-","-","-","7.61","Log unit","7.61","Log unit","25.0","?C","Oc1ccc(cc1)C=O","{oh=8}","","","","","","","-","","","-","-","RGHHSNMVTDWUBI-UHFFFAOYSA"
"CC1=CC(O)=C(C=C1)N(=O)=O","-","R936686","M7534","-","-","5-methyl-2-nitro-phenol","-","Koerner","charochkina","A5793","-","-","-","7.4","Log unit","7.4","Log unit","25.0","?C","Oc1c(N(=O)=O)ccc(C)c1","{oh=1}","","","","","","","-","","","-","-","NQXUSSVLFOBRSE-UHFFFAOYSA"
"OC(C1=CC=CC=C1)C(F)(F)F","-","R936687","M66066","-","-","2,2,2-trifluoro-1-phenyl-ethanol","-","Koerner","charochkina","A5793","-","-","-","11.9","Log unit","11.9","Log unit","25.0","?C","OC(c1ccccc1)C(F)(F)F","{oh=5}","","","","","","","-","","","-","-","VNOMEAQPOMDWSR-UHFFFAOYSA"
"COC(=O)C1=CC(O)=C(C=C1)N(=O)=O","-","R936688","M1050467","-","-","3-hydroxy-4-nitrobenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","6.15","Log unit","6.15","Log unit","25.0","?C","Oc1cc(C(=O)OC)ccc1N(=O)=O","{oh=7}","","","","","","","-","","","-","-","UEGCRFNWTGYVKX-UHFFFAOYSA"
"CC(=O)NC1=CC(O)=C(C=C1)N(=O)=O","-","R936689","M1050468","-","-","N-(3-hydroxy-4-nitrophenyl)acetamid","-","Koerner","charochkina","A5793","-","-","-","6.71","Log unit","6.71","Log unit","25.0","?C","Oc1cc(NC(=O)C)ccc1N(=O)=O","{oh=7}","","","","","","","-","","","-","-","FULKEVNWMGUXNQ-UHFFFAOYSA"
"CC(=O)NC1=CC(=C(O)C=C1)N(=O)=O","-","R936690","M88657","-","-","N-(4-hydroxy-3-nitrophenyl)acetamid","-","Koerner","charochkina","A5793","-","-","-","6.78","Log unit","6.78","Log unit","25.0","?C","Oc1c(cc(NC(=O)C)cc1)N(=O)=O","{oh=11}","","","","","","","-","","","-","-","XZYRROIQJHLVRG-UHFFFAOYSA"
"CC(=O)NC1=CC(O)=CC=C1","-","R936691","M9231","-","-","N-(4-hydroxyphenyl)acetamid","-","Koerner","charochkina","A5793","-","-","-","9.6","Log unit","9.6","Log unit","25.0","?C","Oc1cc(NC(=O)C)ccc1","{oh=7}","","","","","","","-","","","-","-","QLNWXBAGRTUKKI-UHFFFAOYSA"
"CN(C(C)=O)C1=C(O)C=CC=C1","-","R936692","M1050469","-","-","N-(2-hydroxyphenyl)-N-methylacetamid","-","Koerner","charochkina","A5793","-","-","-","8.9","Log unit","8.9","Log unit","25.0","?C","Oc1c(N(C)C(=O)C)cccc1","{oh=7}","","","","","","","-","","","-","-","BVKYITPEOWCRLR-UHFFFAOYSA"
"CN(C(C)=O)C1=C(S)C=CC=C1","-","R936693","M1050470","-","-","N-(2-mercaptoyphenyl)-N-methylacetamid","-","Koerner","charochkina","A5793","-","-","-","5.6","Log unit","5.6","Log unit","25.0","?C","Sc1c(N(C)C(=O)C)cccc1","{sh=7}","","","","","","","-","","","-","-","HCEWZSDTZCYCHO-UHFFFAOYSA"
"CC1=CC(=CC(C)=C1O)N=O","-","R936694","M114001","-","-","2,6-dimethyl-4-nitroso-phenol","-","Koerner","charochkina","A5793","-","-","-","7.56","Log unit","7.56","Log unit","25.0","?C","Oc1c(C)cc(N=O)cc1C","{oh=1}","","","","","","","-","","","-","-","JLGGFXVVFUIJBA-UHFFFAOYSA"
"CC1=CC(O)=CC(C)=C1N=O","-","R936695","M1050471","-","-","3,5-dimethyl-4-nitroso-phenol","-","Koerner","charochkina","A5793","-","-","-","8.04","Log unit","8.04","Log unit","25.0","?C","Oc1cc(C)c(N=O)c(C)c1","{oh=1}","","","","","","","-","","","-","-","ZVUJMNCTXGSXSQ-UHFFFAOYSA"
"OC1=CC=CC=C1CC=C","-","R936696","M9170","-","-","2-allyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.29","Log unit","10.29","Log unit","25.0","?C","Oc1ccccc1CC=C","{oh=9}","","","","","","","-","","","-","-","QIRNGVVZBINFMX-UHFFFAOYSA"
"OC1=CC=C(CC=C)C=C1","-","R936697","M20969","-","-","4-allyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.23","Log unit","10.23","Log unit","25.0","?C","Oc1ccc(CC=C)cc1","{oh=0}","","","","","","","-","","","-","-","RGIBXDHONMXTLI-UHFFFAOYSA"
"CC=CC1=CC=C(O)C=C1","-","R936698","M698005","-","-","4-(1-propenyl)-phenol","-","Koerner","charochkina","A5793","-","-","-","9.809999","Log unit","9.809999","Log unit","25.0","?C","Oc1ccc(C=CC)cc1","{oh=0}","","","","","","","-","","","-","-","UMFCIIBZHQXRCJ-UHFFFAOYSA"
"CCOC(=O)C1=C(O)C=CC=C1","-","R936699","M18981","-","-","2-hydroxybenzoate-ethyl","-","Koerner","charochkina","A5793","-","-","-","9.92","Log unit","9.92","Log unit","25.0","?C","Oc1c(C(=O)OCC)cccc1","{oh=7}","","","","","","","-","","","-","-","GYCKQBWUSACYIF-UHFFFAOYSA"
"CCOC(=O)C1=CC(O)=CC=C1","-","R936700","M7079","-","-","3-hydroxybenzoate-ethyl","-","Koerner","charochkina","A5793","-","-","-","9.1","Log unit","9.1","Log unit","25.0","?C","Oc1cc(C(=O)OCC)ccc1","{oh=8}","","","","","","","-","","","-","-","MWSMNBYIEBRXAL-UHFFFAOYSA"
"CCOC(=O)C1=CC=C(O)C=C1","-","R936701","M7615","-","-","4-hydroxybenzoate-ethyl","-","Koerner","charochkina","A5793","-","-","-","8.5","Log unit","8.5","Log unit","25.0","?C","Oc1ccc(C(=O)OCC)cc1","{oh=9}","","","","","","","-","","","-","-","NUVBSKCKDOMJSU-UHFFFAOYSA"
"CCOC(=O)C1=CC(O)=C([O-])C=C1","-","R936702","M73570","-","-","3,4-dihydroxybenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","11.65","Log unit","11.65","Log unit","25.0","?C","Oc1cc(C(=O)OCC)ccc1[O-]","{oh=8}","","","","","","","-","","","-","-","KBPUBCVJHFXPOC-UHFFFAOYSA"
"COC(=O)C1=C(O)C(OC)=CC=C1","-","R936703","M77046","-","-","2-hydroxy-3-methoxybenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","10.3","Log unit","10.3","Log unit","25.0","?C","Oc1c(C(=O)OC)cccc1OC","{oh=6}","","","","","","","-","","","-","-","BWRCJLJJIXYLNV-UHFFFAOYSA"
"COC(=O)C1=C(O)C=C(OC)C=C1","-","R936704","M75494","-","-","2-hydroxy-4-methoxybenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","9.85","Log unit","9.85","Log unit","25.0","?C","Oc1c(C(=O)OC)ccc(c1)OC","{oh=6}","","","","","","","-","","","-","-","ZICRWXFGZCVTBZ-UHFFFAOYSA"
"COC(=O)C1=CC(O)=C(OC)C=C1","-","R936705","M1050472","-","-","3-hydroxy-4-methoxybenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","9.21","Log unit","9.21","Log unit","25.0","?C","Oc1cc(C(=O)OC)ccc1OC","{oh=7}","","","","","","","-","","","-","-","QXOXUEFXRSIYSW-UHFFFAOYSA"
"COC(=O)C1=CC(OC)=C(O)C=C1","-","R936706","M28845","-","-","4-hydroxy-3-methoxybenzoate-methyl","-","Koerner","charochkina","A5793","-","-","-","8.3","Log unit","8.3","Log unit","25.0","?C","Oc1c(cc(C(=O)OC)cc1)OC","{oh=10}","","","","","","","-","","","-","-","BVWTXUYLKBHMOX-UHFFFAOYSA"
"COC1=CC=C(C=C1)C(O)C(F)(F)F","-","R936707","M1050473","-","-","2,2,2-trifluoro-1-(4-methoxyphenyl)-ethanol","-","Koerner","charochkina","A5793","-","-","-","12.24","Log unit","12.24","Log unit","25.0","?C","OC(c1ccc(cc1)OC)C(F)(F)F","{oh=5}","","","","","","","-","","","-","-","MCAYQVHHKRKRLD-UHFFFAOYSA"
"CCOC(=O)C1=CC(O)=C(C=C1)N(=O)=O","-","R936708","M1050474","-","-","3-hydroxy-4-nitrobenzoate-ethyl","-","Koerner","charochkina","A5793","-","-","-","6.11","Log unit","6.11","Log unit","25.0","?C","Oc1cc(C(=O)OCC)ccc1N(=O)=O","{oh=8}","","","","","","","-","","","-","-","VDARTPBFQUTSTO-UHFFFAOYSA"
"CCOC(=O)C1=CC(=C(O)C=C1)N(=O)=O","-","R936709","M118018","-","-","4-hydroxy-3-nitrobenzoate-ethyl","-","Koerner","charochkina","A5793","-","-","-","5.44","Log unit","5.44","Log unit","25.0","?C","Oc1c(cc(C(=O)OCC)cc1)N(=O)=O","{oh=12}","","","","","","","-","","","-","-","FBHJNBWUGONVNS-UHFFFAOYSA"
"CCC1=C(C(O)=C(C(C)=C1N(=O)=O)N(=O)=O)N(=O)=O","-","R936710","M1050475","-","-","3-ethyl-5-methyl-2,4,6-trinitro-phenol","-","Koerner","charochkina","A5793","-","-","-","3.3","Log unit","3.3","Log unit","25.0","?C","Oc1c(c(c(N(=O)=O)c(c1N(=O)=O)CC)C)N(=O)=O","{oh=0}","","","","","","","-","","","-","-","CCWUTRSAFSRGGD-UHFFFAOYSA"
"COC1=C(O)C(CC=C)=CC=C1","-","R936711","M56299","-","-","2-allyl-6-methoxy-phenol","-","Koerner","charochkina","A5793","-","-","-","10.38","Log unit","10.38","Log unit","25.0","?C","Oc1c(cccc1CC=C)OC","{oh=6}","","","","","","","-","","","-","-","LREHGXOCZVBABG-UHFFFAOYSA"
"COC1=C(O)C=CC=C1CC=C","-","R936712","M1050476","-","-","3-allyl-2-methoxy-phenol","-","Koerner","charochkina","A5793","-","-","-","9.92","Log unit","9.92","Log unit","25.0","?C","Oc1cccc(c1OC)CC=C","{oh=3}","","","","","","","-","","","-","-","HKHVWTUGAJEQNP-UHFFFAOYSA"
"COC1=CC(C=CC)=CC=C1O","-","R936713","M809","-","-","2-methoxy-4-(1-propenyl)-phenol","-","Koerner","charochkina","A5793","-","-","-","9.885","Log unit","9.885","Log unit","25.0","?C","Oc1ccc(C=CC)cc1OC","{oh=0}","","","","","","","-","","","-","-","BJIOGJUNALELMI-UHFFFAOYSA"
"COC1=C(O)C(C=CC)=CC=C1","-","R936714","M24477","-","-","2-methoxy-6-(1-propenyl)-phenol","-","Koerner","charochkina","A5793","-","-","-","10.2","Log unit","10.2","Log unit","25.0","?C","Oc1c(cccc1C=CC)OC","{oh=6}","","","","","","","-","","","-","-","GRZNDCXMPLQWIH-UHFFFAOYSA"
"CCCCC1=CC=CC=C1O","-","R936715","M27941","-","-","2-butyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.58","Log unit","10.58","Log unit","25.0","?C","Oc1ccccc1CCCC","{oh=10}","","","","","","","-","","","-","-","GJYCVCVHRSWLNY-UHFFFAOYSA"
"CC(C)(C)C1=CC=CC=C1O","-","R936716","M12345","-","-","2-tert-Butyl-phenol","-","Koerner","charochkina","A5793","-","-","-","11.245","Log unit","11.245","Log unit","25.0","?C","Oc1ccccc1C(C)(C)C","{oh=10}","","","","","","","-","","","-","-","WJQOZHYUIDYNHM-UHFFFAOYSA"
"CC(C)(C)C1=CC=CC(O)=C1","-","R936717","M1745","-","-","3-tert-butyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.0995","Log unit","10.0995","Log unit","25.0","?C","Oc1cccc(C(C)(C)C)c1","{oh=9}","","","","","","","-","","","-","-","CYEKUDPFXBLGHH-UHFFFAOYSA"
"CC(C)(C)C1=CC=C(O)C=C1","-","R936718","M9142","-","-","4-tert-butyl-phenol","-","Koerner","charochkina","A5793","-","-","-","10.31","Log unit","10.31","Log unit","25.0","?C","Oc1ccc(C(C)(C)C)cc1","{oh=0}","","","","","","","-","","","-","-","QHPQWRBYOIRBIT-UHFFFAOYSA"
